timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-12T14:47:12.497112,claude-opus-4-5-20251101,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a complete internal logic from trauma (political detention and torture) through specific appraisals (""her body cannot be trusted,"" ""no longer capable of the things that once defined her"") to specific behaviors (constant distraction, makeup to cover scars, avoidance of promotions) that maintain the PTSD. The vignette excels at showing how her coping strategies backfire — distraction keeps the memory ""just below the threshold of full recall without ever resolving it."" Idiosyncratic triggers (the diminutive name, humid weather, industrial coolant) are grounded in the specific sensory details of her torture, and the maintenance cycle is explicitly articulated. The frozen episode at the machine provides concrete functional impairment. Every detail serves the clinical picture."
2026-05-12T14:47:21.795274,claude-opus-4-5-20251101,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"This is an exceptionally well-constructed vignette that demonstrates the full maintenance cycle of PTSD with remarkable clarity. The internal logic is fully traceable: the trauma (being trapped during shelling) led to specific beliefs (any environment could be a trap), which drive specific behaviors (exit-scanning, perimeter checks, avoiding elevated heart rate), which maintain the disorder by continuously signaling danger. The vignette explicitly shows how safety behaviors backfire — ""By treating every environment as a potential trap... Aleksander was continuously signaling to himself that the danger was real."" The emotional numbing (pushing away positive emotions because they feel ""unsafe"") is connected to the hypervigilance system rather than listed as a separate symptom. The only element not explicitly present is fragmented/disorganized trauma memory — the index event is described as ""vivid"" but not as intrusive or temporally confused."
2026-05-12T14:47:32.305563,claude-opus-4-5-20251101,V018,384,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a complete internal logic from trauma (rape by a known professional) through fragmented memory (""frozen frames,"" silence as the lodged sensory detail) to specific appraisals (self-blame, deserving punishment, world is dangerous) to maladaptive strategies (food restriction, refusal of rest) that maintain both the unprocessed memory and the hypervigilance. The maintenance cycle is explicitly articulated: restriction prevents processing, hypervigilance confirms threat appraisals, and the appraisals justify continued vigilance. Specific triggers (room silence, colleagues being late) and functional impairment (freezing in doorway, marital distance, social withdrawal) are concrete and clinically actionable. The vignette teaches how punishment logic and control-seeking behaviors can paradoxically maintain PTSD by preventing the conditions needed for memory integration."
2026-05-12T14:47:42.564288,claude-opus-4-5-20251101,V034,239,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exemplary vignette that traces a complete internal logic from trauma (witnessing a fellow student killed by military patrol) through specific beliefs (self-blame about cowardice, conviction the world remains dangerous) to specific behaviors (carrying a handgun, scanning for exits, avoiding news) to maintenance cycles (rumination keeps memory activated, hypervigilance lowers trigger threshold). The fragmented, sensory nature of the trauma memory is explicitly shown (""crack of gunfire, olive-green uniforms, smell of concrete and blood"") as is the sense of current threat (""it feels like being there again""). The specific triggers (uniforms, backfiring cars, metal trays) and their idiosyncratic connection to the original trauma are clearly articulated. The vignette demonstrates how maladaptive coping strategies (weapon-carrying, avoidance, rumination) maintain rather than resolve the PTSD. Functional impairment is vividly shown in the incident that brought him to treatment."
2026-05-12T14:47:52.648994,claude-opus-4-5-20251101,V040,384,claude-sonnet-4-6,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptional in its clinical depth and narrative coherence. The trauma memory is explicitly shown as fragmented (""frozen images,"" ""photographs"" with gaps between), and the specific trigger of silence is traced from the assault context to its current activation in the office. The internal logic is fully visible: her self-blame (""she deserved it""), her loss of faith and identity, her rigid eating as a control strategy, and her avoidance of stillness all connect coherently to the trauma and maintain her PTSD. The shame around bodily contamination and the fear that words will confirm irreversible damage are clinically sophisticated details that teach something beyond textbook knowledge about sexual assault trauma."
2026-05-12T14:48:02.246786,claude-opus-4-5-20251101,V050,252,claude-sonnet-4-6,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette with a clear internal logic connecting witnessed trauma to specific beliefs (he didn't act, he wasn't the one hurt, he doesn't deserve help) to specific behaviors (hypervigilant scanning, positioning away from entrance, withdrawal from family) to maintenance (rumination about what he should have done, shame preventing disclosure). The sensory specificity is remarkable — ""the wet noise he cannot bring himself to describe,"" gripping the counter, smelling blood from three registers away — and the triggers are idiosyncratic (dropped baskets, child's shriek). The shame about being a witness rather than victim is clinically nuanced and teaches something textbooks rarely capture about witness trauma and masculine identity in older men."
2026-05-12T14:48:13.323515,claude-opus-4-5-20251101,V063,299,claude-sonnet-4-6,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a clear internal logic from trauma (witnessing son's near-death, feeling dismissed by medical system) to specific beliefs (she failed him, institutions cannot be trusted) to specific behaviors (avoiding medical settings, unable to open first-aid kit, seeking reassurance) to maintenance cycles (emotional avoidance prevents processing, reassurance-seeking never resolves the underlying fear). The trauma memory is explicitly described as formless and inaccessible yet emotionally intrusive — a textbook Ehlers & Clark fragmented memory. Triggers are highly specific (IV ports, sterile packaging) and the avoidance of all strong emotion, including joy, demonstrates sophisticated understanding of emotional numbing as a maintaining strategy. The vignette teaches something a trainee would not easily learn from a textbook: how PTSD following medical trauma in a caregiver manifests, and how the sense of institutional betrayal compounds self-blame."
2026-05-12T14:48:24.723252,claude-opus-4-5-20251101,V071,142,claude-sonnet-4-6,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"This is an exceptionally well-constructed vignette with a clear internal logic tracing from the index trauma (seconds of absolute uncertainty with no exit) to specific beliefs (enclosed spaces without exits are traps, softening equals vulnerability) to specific behaviors (exit scanning, positioning near doorways, avoiding the gym, pushing away positive emotions) to maintenance cycles (interoceptive avoidance of exertion, emotional numbing as protective vigilance). The gym avoidance as interoceptive trigger is particularly clinically valuable—showing how elevated heart rate and breathlessness ""felt too close to something else."" The detail about refusing happiness on his son's birthday demonstrates emotional numbing as an active protective strategy rather than passive symptom. Every detail serves the clinical picture without extraneous information."
2026-05-12T14:48:34.377046,claude-opus-4-5-20251101,V087,122,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptional in its explicit articulation of the Ehlers & Clark cognitive model of PTSD. It traces a complete maintenance cycle: minimisation prevents processing, leaving memory fragmented; fragmented memory is easily triggered by sensory cues (antiseptic smell); triggers activate threat appraisals (""the world is fundamentally unpredictable""); threat appraisals drive hypervigilance; hypervigilance increases trigger sensitivity. The specific details — the smell of cigarette smoke and cleaning fluid, the sound of their own compliant voice, freezing mid-procedure at the clinic — are idiosyncratic and grounded. The vignette teaches something a trainee could not easily get from a textbook: how minimisation as a coping strategy paradoxically maintains PTSD by preventing memory integration and leaving threat appraisals unchallenged."
2026-05-12T14:48:45.271818,claude-opus-4-5-20251101,V095,122,claude-sonnet-4-6,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a clear line from a specific traumatic event (armed robbery) through to specific beliefs, behaviors, and maintaining factors. The internal logic is fully visible: Sasha's body learned that the world is dangerous in those 90 seconds, and now their nervous system ""runs a continuous background calculation of threat"" that reasoning cannot reach — this captures the Ehlers & Clark disconnect between intellectual knowledge and felt sense of current threat. Specific triggers (cigarette smoke, being touched unexpectedly, traumatized animals at work), specific avoidance behaviors (no earbuds, mapping exits, driving instead of walking), and the gap between knowing and feeling are all shown rather than told. The detail about recognizing something in the stillness of traumatized animals they treat is particularly clinically rich — showing how occupational triggers maintain distress in ways a trainee needs to see."
