model,condition,opt_k,silhouette
claude-haiku-4-5,Full formulation,5,0.076
claude-haiku-4-5,No formulation,2,0.074
claude-haiku-4-5,Zero-shot,2,0.103
claude-sonnet-4-6,Full formulation,4,0.067
claude-sonnet-4-6,No formulation,3,0.069
claude-sonnet-4-6,Zero-shot,2,0.11
deepseek-chat,Full formulation,7,0.067
deepseek-chat,No formulation,2,0.067
deepseek-chat,Zero-shot,5,0.074
deepseek-reasoner,Full formulation,4,0.062
deepseek-reasoner,No formulation,2,0.074
deepseek-reasoner,Zero-shot,7,0.077
gemini-2.5-flash,Full formulation,2,0.062
gemini-2.5-flash,No formulation,2,0.07
gemini-2.5-flash,Zero-shot,7,0.076
gemini-2.5-pro,Full formulation,2,0.053
gemini-2.5-pro,No formulation,8,0.06
gemini-2.5-pro,Zero-shot,8,0.066
gpt-4o-mini,Full formulation,2,0.06
gpt-4o-mini,No formulation,8,0.065
gpt-4o-mini,Zero-shot,6,0.065
gpt-5.4,Full formulation,5,0.069
gpt-5.4,No formulation,4,0.071
gpt-5.4,Zero-shot,8,0.116
gpt-5.4-mini,Full formulation,3,0.064
gpt-5.4-mini,No formulation,8,0.068
gpt-5.4-mini,Zero-shot,8,0.122
qwen2.5-32b,Full formulation,2,0.068
qwen2.5-32b,No formulation,2,0.064
qwen2.5-32b,Zero-shot,8,0.077
qwen3.6-35b,Full formulation,4,0.066
qwen3.6-35b,No formulation,3,0.079
qwen3.6-35b,Zero-shot,2,0.071
