timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-12T14:19:26.152250,claude-opus-4-7,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed and coherent vignette that traces a clear internal logic from the witnessed medical near-loss of her son through the development of dismissal-based injustice appraisals, sensory triggers (blood, needles, medical objects), fragmented emotional memory (affect without image), and maintaining strategies (emotional suppression, reassurance-seeking, avoidance of positive affect). The phlebotomy scene provides a concrete functional impairment that motivates help-seeking. Particularly strong on Ehlers-Clark mechanisms — the disjointed memory with detached affective intrusions is unusually well rendered."
2026-05-12T14:19:34.585784,claude-opus-4-7,V002,403,gpt-5.4-mini,zero_shot,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,"The vignette is vivid, well-written, and covers all DSM-5 criteria and Ehlers-Clark components with concrete sensory detail (fragmented memory of diesel/sand/metal, narrow-road avoidance, motorcycle backfire trigger, ""always braced""). However, it leans toward comprehensive symptom coverage rather than tracing a tight idiosyncratic mechanism — the link between her auditor-precision identity and her shame at ""small mistakes"" is hinted at but not fully developed into a maintenance cycle. The mention of cultural reserve adds texture but is only loosely tied to maintaining factors, slightly diluting clinical focus."
2026-05-12T14:19:46.439628,claude-opus-4-7,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally rich and coherent: the trauma, the sensory-based intrusion (rust, wet concrete, rain, the diminutive name), the avoidance (makeup, clothing, distraction), the negative appraisals (body untrustworthy, self diminished), and the hyperarousal all interlock with clear internal logic. The Ehlers & Clark mechanisms are explicitly shown — including the dissociative quality of the memory (""belongs to another woman"") combined with vivid sensory re-experiencing, and the way maintenance strategies narrow her life (declined promotions). A trainee could trace exactly why this person has PTSD in this particular way."
2026-05-12T14:19:54.804427,claude-opus-4-7,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"The vignette presents a richly detailed, internally coherent case showing how Mona's specific role (matching dog tags to names) shapes her survivor guilt, her choice of auditing as a profession, and her control rituals. All DSM-5 criteria and Ehlers-Clark components are explicitly shown — diesel smell as a trigger, the binder-drop dissociative ""glitch,"" the bulletproof glass metaphor for numbing, and the way her fortress-building maintains rather than resolves the trauma. The narrative traces a clear line from trauma to belief (""the world is fundamentally unsafe"") to behavior (mapped exits, missing her daughter's games) to maintenance cycle."
2026-05-12T14:20:03.658926,claude-opus-4-7,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,0,1,1,1,1,1,1,0,1,1,"This is a richly detailed, internally coherent vignette that traces a clear logic from trauma (the stairwell entrapment with associated bodily sensations) through specific maladaptive strategies (stopping exercise, exit-scanning, perimeter walks) to their maintaining effect on hypervigilance — an excellent teaching example of an Ehlers-Clark maintenance cycle. The nephew incident anchors functional impairment vividly, and emotional numbing/pushing away positive emotions is well shown. Notable gaps: explicit intrusion symptoms (flashbacks, nightmares) are not described — the trauma is ""vivid"" in recall but no Criterion B re-experiencing is shown — and the nature of the trauma memory (fragmented/present-tense) is not addressed."
2026-05-12T14:20:11.695199,claude-opus-4-7,V006,112,qwen2.5-32b,no_formulation,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,"The vignette covers most DSM and Ehlers-Clark domains with some specific sensory details (metallic taste, neck pain as somatic trigger, derealization of memory). However, hyperarousal is only loosely implied through workplace stressors rather than explicit hypervigilance/startle/sleep disturbance. The prose drifts into generic recovery-narrative language (""flicker of hope,"" ""determined to find a path forward"") that reads more like a case summary than a lived clinical picture, weakening the internal logic linking trauma → belief → behavior."
2026-05-12T14:20:20.985809,claude-opus-4-7,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,0,1,1,1,1,1,1,0,1,1,"A coherent, well-constructed vignette that traces a clear line from the index event (crowd surge in an aid site where threat and helper were indistinguishable) to the specific belief that safety is conditional, to the behaviors (exit-scanning, avoiding exercise, shutting down positive affect) that maintain hyperarousal. Particularly strong on Ehlers-Clark mechanisms — appraisals, current threat, maladaptive strategies (avoiding exertion because interoceptive cues mimic alarm; suppressing relaxation), and triggers. Notable gap: no explicit intrusion symptoms (nightmares, flashbacks, distress at reminders) and no description of fragmented/nowness memory, so Criterion B and ec_memory are not met."
2026-05-12T14:20:29.422179,claude-opus-4-7,V008,112,gemini-2.5-flash,full,3,3,3,2,3,3,3,1,1,0,1,1,1,1,1,1,0,1,"The vignette establishes a clear internal logic linking somatic sensations (neck pain, nausea) from the entrapment to current triggers, dissociative memory quality, and negative appraisals about belonging and trust. Strong on Ehlers-Clark mechanisms — particularly somatic triggers, sense of current threat, and dissociative memory quality. Weaknesses: avoidance (Criterion C) is not clearly shown beyond general withdrawal, and maladaptive coping strategies are not explicitly described — we see triggers and arousal but not what Linh does to manage them. Some phrasing (""solidify a pervasive dread"") feels slightly constructed rather than observed."
2026-05-12T14:20:37.235286,claude-opus-4-7,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exemplary: it traces a clear internal logic from the IED incident through the fragmented memory, survivor guilt, and the appraisal ""I am the kind of person who fails when it matters most"" to the specific avoidance and hypervigilant behaviors (corner office, ground-floor apartment, declining mentorship). Triggers (perfume, fire alarm), fragmented memory, current threat sense, and maladaptive strategies (constant scanning as protective) are all shown with concrete idiosyncratic detail. Every element connects to the maintenance cycle, and the closing reflection about wondering whether the threat is real captures the Ehlers & Clark framework beautifully."
2026-05-12T14:20:45.641280,claude-opus-4-7,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed vignette that traces the link between a fragmented, disorganised memory and Tane's specific triggers (slamming doors, crying babies, sudden peripheral movement) and avoidance strategies (moving to the stockroom, delegating to his wife). The full DSM-5 picture is shown rather than listed, and the Ehlers & Clark mechanisms—fragmented memory, sense of current threat at the register, negative appraisal about institutional failure, hypervigilant scanning as maladaptive strategy—are explicit. Numbing is shown both in his wife's observation and his own ""flat and empty"" self-description, giving the case unusual coherence."
2026-05-12T14:20:54.272993,claude-opus-4-7,V011,239,claude-haiku-4-5,zero_shot,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed, coherent vignette that traces the line from a specific traumatic event (bombing, four-hour entrapment) through intrusive nightmares of the welded-shut storage room, concrete triggers (fireworks, car backfire), avoidance and rigid routines, and a clear appraisal that ""safety is no longer something he can feel, only something he can construct."" The mechanism — that control rituals substitute for an internal sense of safety — is a teachable, non-obvious clinical insight. Minor weakness: the mention of his deceased wife adds atmosphere but is not fully integrated into the PTSD maintenance picture, slightly diluting g4."
2026-05-12T14:21:02.535764,claude-opus-4-7,V012,252,qwen3.6-35b,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed, decades-long PTSD presentation grounded in a specific workplace shooting witnessed forty years ago, with the trauma memory still arriving as vivid sensory fragments (linoleum shade, smell of ozone and copper). The vignette shows a clear internal logic: return to the register as an attempt to rebuild order, avoidance routes through the service entrance, hypervigilant scanning of hands and jackets, and a present-day trigger (cracker box) that re-activates the full arousal response. Minor weakness is that the ""Oceania heritage"" line adds atmosphere without clear clinical function, but otherwise every detail serves the maintenance picture."
2026-05-12T14:21:10.055910,claude-opus-4-7,V013,149,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed, internally coherent vignette that traces the line from a specific betrayal trauma to fragmented memory, to interoceptive triggers (his own racing heart), to avoidance of law enforcement contexts, to the injustice appraisal that maintains the symptoms. The ""friendly fire"" by a trusted colleague gives a distinctive clinical signature — the betrayal appraisal is shown to be a maintaining factor, not just background. All DSM-5 and Ehlers-Clark elements are explicit and shown in action rather than merely named."
2026-05-12T14:21:18.247347,claude-opus-4-7,V014,112,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A rich, specific narrative grounded in concrete sensory and cognitive detail — the taste of brackish water returning in the present, somatic vigilance about neck aches and feeling unwell, and the depersonalization-like sense that the event ""belonged to someone else."" It traces a clear internal logic from trauma to fragmented memory to body-based triggers to isolating appraisals about being unknowable to others. Minor weakness: hyperarousal beyond somatic checking (e.g., sleep, startle) is less developed, but Criterion E is met through body hypervigilance and reactivity to reminders."
2026-05-12T14:21:26.300021,claude-opus-4-7,V015,252,gpt-5.4,zero_shot,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A well-constructed, coherent vignette of witnessing-trauma PTSD in an older adult, with specific concrete detail (loud-voiced young men in the shop, facing the entrance, losing track of numbers at the till) and clear DSM-5 and Ehlers-Clark coverage. The internal logic — shame at freezing fueling negative self-appraisal, which deepens isolation and avoidance — is traceable throughout. Slightly less novel in clinical teaching value because the maintenance cycles, while present, follow a fairly familiar pattern rather than offering an unexpected nuance."
2026-05-12T14:21:34.072697,claude-opus-4-7,V016,311,qwen3.6-35b,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"A richly detailed, narratively coherent vignette of a torture survivor with PTSD. Specific sensory triggers (pneumatic presses syncing with heartbeat, grease feeling like dried blood, mop bucket flinch) clearly demonstrate trauma cues, intrusive sensory memory, and current threat. The internal logic — why she chose factory work, why she divorced, why she sleeps with a knife — connects trauma to belief to behaviour to maintaining cycles with unusual depth."
2026-05-12T14:21:42.388241,claude-opus-4-7,V017,122,qwen3.6-35b,zero_shot,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,"Vivid, well-written narrative with concrete sensory triggers (scent of rain, car backfires, back alley) and clear DSM-5 coverage including avoidance, hypervigilance, intrusion (nightmare of alley becoming corridor), and functional impairment at work and intimacy. The internal logic is mostly visible — mugging led to threat-monitoring at work, intimacy, and family contact — though the connection between specific beliefs and behaviors is more shown than analyzed. Some details (Middle Eastern family, age 26) add color but do not deeply connect to maintaining mechanisms, and the literary tone occasionally prioritizes atmosphere over clinical clarity."
