timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-12T14:09:36.401239,claude-opus-4-5-20251101,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a clear internal logic from trauma (witnessing son's medical crisis after being dismissed by doctors) to specific beliefs (she should have known, the system failed, vigilance is necessary) to specific behaviors (constant scanning, reassurance-seeking, emotional suppression) to maintenance cycles (suppression increases unbidden emotional waves, vigilance prevents disconfirmation of threat). The trauma memory is explicitly described as fragmented—she knows what happened but cannot narrate it, yet the raw emotional weight crashes over her without images attached. Specific triggers (blood on counter, medical equipment, needle) are vividly shown. The vignette teaches something textbooks often miss: how emotional suppression extends to positive emotions and how unresolved injustice fuels ongoing hypervigilance."
2026-05-12T14:09:47.431808,claude-opus-4-5-20251101,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This vignette excels in tracing a coherent internal logic from trauma to belief to behavior to maintenance. The connection between her pre-trauma identity as an auditor (precision, control) and how PTSD disrupts this specifically (concentration slips, small mistakes trigger panic and self-reproach) is particularly well-drawn. The fragmented memory (""comes back in pieces: the smell of diesel and sand, the taste of metal""), the sense of current threat (""her body keeps reacting as though the danger is still present""), and specific triggers (file drawer slamming, motorcycle backfire) are all explicitly shown rather than merely stated. The vignette demonstrates how her cultural background and professional identity shape her maladaptive coping (reserve hardening into distance, hiding distress while still meeting deadlines), creating a maintenance cycle that is specific to this person."
2026-05-12T14:09:58.034381,claude-opus-4-5-20251101,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a complete internal logic from trauma (political detention with torture) through specific beliefs (""my body cannot be trusted,"" ""I am no longer capable"") to specific behaviors (makeup to cover scars, constant mental distraction, avoidance of promotions) to maintenance cycles (distraction keeps memory subthreshold without resolving it, avoidance narrows life and confirms incapacity beliefs). The sensory specificity is remarkable — rust and wet concrete smell, the diminutive name, heavy humid weather — and these are explicitly linked to re-experiencing. The vignette demonstrates how her coping strategies backfire: the distraction maintains rather than resolves the memory, and the avoidances confirm her negative self-appraisals. The frozen episode at the factory provides concrete functional impairment. A trainee reading this would understand not just what PTSD looks like but why this particular person's PTSD works this way."
2026-05-12T14:10:09.912779,claude-opus-4-5-20251101,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a clear internal logic from trauma (indirect exposure to combat deaths through her role matching names to casualties) to specific beliefs (""the world is fundamentally unsafe,"" survivor's guilt) to specific behaviors (rigid control rituals, exit mapping, avoidance of diesel smell, jackhammers, crowds) to maintenance cycles (emotional numbing as protection that costs her marriage and connection to children). The vignette excels at showing how her coping strategies—the ""fortress,"" the control, the emotional detachment—maintain her PTSD rather than resolve it. Specific sensory triggers (diesel, radio static, jackhammer sounds, sudden loud noises) are explicitly linked to re-experiencing. The metaphor of auditing as finding ""the one mistake"" connects meaningfully to her trauma processing style. The only minor weakness is the explicit PCL-5 score which feels slightly clinical-report-like, but this is offset by the rich narrative detail throughout."
2026-05-12T14:10:20.781031,claude-opus-4-5-20251101,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"This is an exceptionally well-constructed vignette that demonstrates a clear maintenance cycle: Aleksander's safety behaviors (exit scanning, perimeter checks, avoiding elevated heart rate) are explicitly shown to feed rather than reduce his sense of threat. The internal logic is fully traceable—from the index trauma (trapped in a collapsing building) to specific beliefs (any enclosed space is a potential trap) to specific behaviors (positioning near exits, cataloguing routes) to how these maintain PTSD (continuous threat signaling). The vignette explicitly names this mechanism. Triggers are specific and idiosyncratic (elevated heart rate from exercise, unexpected approaches). The only Ehlers & Clark component not clearly present is fragmented/disorganized memory—the trauma memory is described as ""vivid"" but not as fragmented or intrusive in a here-and-now quality."
2026-05-12T14:10:29.797467,claude-opus-4-5-20251101,V006,112,qwen2.5-32b,no_formulation,2,2,2,2,2,2,2,1,1,1,1,0,1,1,0,1,1,1,"The vignette presents a coherent PTSD case following a hurricane with some specific details (neck pain as trigger, metallic taste, open office stressors). However, it reads somewhat formulaically—covering expected symptom domains without deep exploration of the internal logic connecting trauma to specific beliefs to behaviors. The distrust of others is mentioned but not clearly linked to the trauma mechanism. Criterion E (hyperarousal) is notably absent—no explicit sleep disturbance, startle response, or hypervigilance described. The vignette has clinical utility but lacks the idiosyncratic depth that would make it feel like a real observed case rather than a constructed illustration."
2026-05-12T14:10:40.580044,claude-opus-4-5-20251101,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"This vignette excels in tracing a coherent internal logic from trauma to maintaining behaviors. The specific detail of how Daniel avoids exercise because physical exertion mimics alarm states, and how he actively suppresses positive emotions because relaxation feels dangerous, demonstrates sophisticated understanding of PTSD maintenance cycles. The triggers are specific and sensory (enclosed spaces, strangers approaching, doorways) and the appraisal that ""letting himself feel happy or relaxed was unsafe"" explicitly shows the cognitive mechanism driving avoidance of positive affect. The only absent element is fragmented/disorganized trauma memory—the memory is described in plain detail rather than as intrusive or temporally confused."
2026-05-12T14:10:50.962179,claude-opus-4-5-20251101,V008,112,gemini-2.5-flash,full,3,3,3,3,3,3,3,1,1,0,1,1,1,1,1,1,0,1,"This vignette excels in showing a specific, traceable maintenance cycle: somatic sensations (neck pain, nausea) trigger sensory flashbacks (taste of dust), which reinforce negative appraisals (""people are not what they seem,"" ""I don't belong""), which heighten vigilance, which makes more sensations feel threatening. The idiosyncratic detail of interoceptive triggers broadening over time is clinically sophisticated. The dissociative quality of the memory (""too extreme to have happened to him"") is explicitly linked to processing difficulty. Criterion C (avoidance) is notably absent—withdrawal is mentioned but framed as a consequence of distrust rather than deliberate avoidance of reminders. Maladaptive coping strategies are also not explicitly shown beyond the hypervigilance itself."
2026-05-12T14:11:02.557357,claude-opus-4-5-20251101,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a complete internal logic from trauma (IED attack, survivor guilt over the specialist from Tennessee) to core belief (""I am the kind of person who failed when it mattered most"") to specific behaviors (corner office positioning, route rigidity, relationship withdrawal) to maintenance cycles (hypervigilance as confirmation of defectiveness, avoidance that prevents disconfirmation). The fragmented memory is explicitly shown—the ""black space"" she cannot illuminate—and specific triggers (the woody-floral perfume, fire alarm, news footage) are linked to re-experiencing. The vignette demonstrates how her coping strategies (narrowing her world, refusing mentorship) maintain rather than resolve her sense of threat. Functional impairment is concrete: divorce, work errors, inability to mentor, life confined to three rooms."
2026-05-12T14:11:13.175032,claude-opus-4-5-20251101,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-constructed vignette that traces a coherent line from witnessed trauma to fragmented memory to hypervigilance to emotional numbing. The idiosyncratic triggers (doors slamming, babies crying, peripheral movement) are specific and grounded in the original event's sensory fragments. The vignette excels at showing how Tane's coping strategies (constant scanning, positioning to see the door, avoiding certain customers) maintain his hyperarousal rather than relieving it. The fragmented nature of the trauma memory is explicitly described as preventing narrative coherence, and his negative appraisals about institutional failure add depth. The detail about feeling ""flat and empty"" alongside his watchfulness captures the paradox of numbing and hyperarousal coexisting. Every detail serves the clinical picture."
