model,condition,n_personas,word_count_mean,word_count_std,word_count_min,word_count_max,attempt_1_pass_rate,mean_attempts,ultimately_passed_rate,tokens_input_mean,tokens_output_mean,tokens_total_mean,edge_coverage_mean,edge_density_mean,mean_edge_weight,n_required_edges_mean,n_active_nodes_mean
claude-haiku-4-5,full,500,898.862,175.7149,608,1710,0.858,1.226,1.0,5312.248,1289.674,6601.922,1.0,0.3405,0.5065,6.81,3.482
claude-haiku-4-5,no_formulation,500,820.234,129.4491,633,1474,0.88,1.228,0.996,4353.034,1415.108,5768.142,,,,,
claude-haiku-4-5,zero_shot,500,587.806,23.2583,528,666,1.0,1.0,1.0,229.906,777.282,1007.188,,,,,
claude-sonnet-4-6,full,500,761.096,64.9131,661,1209,0.97,1.03,1.0,4019.082,1043.282,5062.364,1.0,0.3405,0.5065,6.81,3.482
claude-sonnet-4-6,no_formulation,500,736.44,31.9706,673,1032,0.992,1.01,1.0,3218.144,995.516,4213.66,,,,,
claude-sonnet-4-6,zero_shot,500,666.678,15.7766,601,721,1.0,1.0,1.0,230.906,830.594,1061.5,,,,,
deepseek-chat,full,500,735.002,104.3968,510,1315,0.946,1.068,1.0,3228.95,930.096,4159.046,1.0,0.3405,0.5065,6.81,3.482
deepseek-chat,no_formulation,500,816.49,92.9857,616,1295,1.0,1.0,1.0,2485.862,993.346,3479.208,,,,,
deepseek-chat,zero_shot,500,683.566,60.0694,497,921,1.0,1.0,1.0,199.12,851.01,1050.13,,,,,
deepseek-reasoner,full,500,706.846,125.8102,23,1116,0.544,1.606,0.998,5253.87,5951.3,11205.17,1.0,0.3405,0.5065,6.81,3.482
deepseek-reasoner,no_formulation,500,778.932,121.754,519,1444,0.846,1.19,1.0,3082.006,3026.196,6108.202,,,,,
deepseek-reasoner,zero_shot,500,657.618,71.2134,458,919,1.0,1.0,1.0,199.12,1243.872,1442.992,,,,,
gemini-2.5-flash,full,500,713.2,112.5919,324,1082,0.606,1.51,1.0,4941.81,8709.452,13651.262,1.0,0.34,0.506,6.8,3.48
gemini-2.5-flash,no_formulation,500,686.742,68.1488,63,1107,0.994,1.014,1.0,2366.336,3709.062,6075.398,,,,,
gemini-2.5-flash,zero_shot,500,706.712,64.1649,534,923,1.0,1.0,1.0,208.564,2570.58,2779.144,,,,,
gemini-2.5-pro,full,500,750.292,99.0997,203,1203,0.664,1.456,1.0,4814.172,6210.244,11024.416,1.0,0.3405,0.5065,6.81,3.482
gemini-2.5-pro,no_formulation,500,690.706,47.3789,582,869,0.956,1.048,1.0,2489.7,3889.044,6378.744,,,,,
gemini-2.5-pro,zero_shot,500,644.598,37.1455,539,756,1.0,1.0,1.0,201.984,2537.07,2739.054,,,,,
gpt-4o-mini,full,500,1398.448,371.7136,577,2951,0.038,5.748,0.07,25722.554,3511.12,29233.674,0.2929,0.3405,0.5065,6.81,3.482
gpt-4o-mini,no_formulation,500,740.126,34.6064,632,847,0.996,1.008,1.0,2346.118,892.19,3238.308,,,,,
gpt-4o-mini,zero_shot,500,727.224,27.5805,661,811,1.0,1.0,1.0,207.042,883.472,1090.514,,,,,
gpt-5.4,full,500,891.704,103.5427,688,1556,0.844,1.224,1.0,4076.344,1110.936,5187.28,1.0,0.3405,0.5065,6.81,3.482
gpt-5.4,no_formulation,500,865.222,43.3444,758,1013,0.996,1.004,1.0,2515.442,1023.09,3538.532,,,,,
gpt-5.4,zero_shot,500,891.582,42.6523,758,1049,1.0,1.0,1.0,206.042,1048.834,1254.876,,,,,
gpt-5.4-mini,full,500,844.576,187.5311,52,2569,0.854,1.22,0.996,4055.882,1087.83,5143.712,0.9989,0.3405,0.5065,6.81,3.482
gpt-5.4-mini,no_formulation,500,854.136,55.1328,645,1035,1.0,1.0,1.0,2476.35,995.608,3471.958,,,,,
gpt-5.4-mini,zero_shot,500,780.336,46.0949,598,921,1.0,1.0,1.0,206.042,905.444,1111.486,,,,,
gpt-oss-20b,full,500,816.864,108.7384,482,1083,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3405,0.5065,6.81,3.482
llama3.1-70b,full,500,536.974,53.4812,386,732,0.98,1.02,1.0,0.0,0.0,0.0,1.0,0.3405,0.5065,6.81,3.482
llama3.1-70b,no_formulation,459,579.4444,51.1645,450,774,0.9935,1.0087,1.0,0.0,0.0,0.0,,,,,
qwen2.5-32b,full,500,574.598,52.3066,420,747,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3405,0.5065,6.81,3.482
qwen2.5-32b,no_formulation,500,598.718,53.3541,463,768,0.998,1.002,1.0,0.0,0.0,0.0,,,,,
qwen2.5-32b,zero_shot,500,610.37,51.9808,90,737,1.0,1.0,1.0,0.0,0.0,0.0,,,,,
qwen2.5-72b,full,4,605.75,57.7718,538,664,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2125,0.5388,4.25,2.75
qwen3.6-35b,full,500,652.158,88.1022,438,981,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3405,0.5065,6.81,3.482
qwen3.6-35b,no_formulation,500,649.574,63.0684,432,858,1.0,1.0,1.0,0.0,0.0,0.0,,,,,
qwen3.6-35b,zero_shot,500,586.092,56.8425,405,766,1.0,1.0,1.0,0.0,0.0,0.0,,,,,
qwen3.6-35b-ablit,no_formulation,302,653.404,58.1096,497,837,1.0,1.0,1.0,0.0,0.0,0.0,,,,,
