timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-14T21:28:55.735421,claude-opus-4-5,V034,239,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, with a well-organized narrative structure, concrete examples of symptoms, and accessible language that makes the clinical presentation immediately understandable. | relevance: Highly relevant to clinical practice with realistic presentation, plausible help-seeking pathway, and recognizable PTSD symptom patterns that clinicians would encounter. | importance: Highly important vignette that illustrates complex, chronic PTSD with multiple interconnected maintaining factors, offering rich learning opportunities about trauma memory, avoidance cycles, and moral injury. | g1_grounded: The vignette demonstrates strong clinical authenticity through accurate portrayal of trauma mechanisms, historically grounded context, and realistic symptom presentation consistent with PTSD literature. | g2_narrative: The vignette reads as a compelling personal narrative with symptoms woven naturally into Ernesto's life story rather than presented as a diagnostic checklist. | g3_explicit: PTSD-relevant details are thoroughly explicit and identifiable across all symptom clusters, with clear Criterion A trauma, intrusive re-experiencing, avoidance, negative cognitions, and hyperarousal symptoms all specifically described. | g4_relevant: The vignette contains only clinically relevant information with no confusing or misleading elements; all details serve to illustrate the PTSD presentation and its maintaining factors. | dsm_a: The vignette clearly and explicitly describes a traumatic event: witnessing a fellow student being shot and killed by military forces during political violence in El Salvador. | dsm_b: The vignette explicitly describes flashbacks with full sensory re-experiencing and intense distress triggered by multiple trauma-related cues (uniforms, loud noises, military references). | dsm_c: The vignette explicitly describes avoidance of external reminders including news coverage of Central American violence and armed conflict, as well as stopping television watching almost entirely. | dsm_d: The vignette explicitly depicts negative cognitions including guilt, self-blame, and negative beliefs about the self through Ernesto's persistent rumination about whether his silence was cowardice and whether he is ""a man who fails others."" | dsm_e: The vignette explicitly describes hypervigilance, exaggerated startle response, and sustained physiological arousal that leaves Ernesto exhausted. | dsm_g: The vignette explicitly describes functional impairment in occupational settings (exhaustion from hypervigilance, the incident requiring him to leave a patient) and social/recreational domains (narrowed life, avoidance of television and news). | ec_threat: The vignette explicitly demonstrates a sense of current threat through Ernesto's ongoing hypervigilance, constant scanning for exits, carrying a weapon, and his expressed feeling of still being ""that young man pressed against the wall."" | ec_appraisals: The vignette explicitly shows negative appraisals through Ernesto's self-blame about his silence being ""cowardice"" and his fear that he is ""losing his mind"" due to his symptoms. | ec_memory: The vignette explicitly depicts fragmented, disorganized trauma memory that feels like present-moment reliving rather than past recollection. | ec_strategies: The vignette explicitly describes multiple maladaptive coping strategies including avoidance of news/television, carrying a weapon, and rumination, and directly explains how these strategies perpetuate his PTSD. | ec_triggers: The vignette explicitly identifies multiple specific triggers (uniforms, loud noises, military references) that set off flashbacks and distress, with clear connections to the original trauma."
2026-05-14T21:28:56.515339,claude-opus-4-5,V008,112,gemini-2.5-flash,full,2,3,2,2,2,3,2,1,1,0,1,1,1,1,1,0,0,1,"clarity: The vignette is moderately clear but contains significant repetition and some overly complex sentences that detract from readability and narrative flow. | relevance: Highly relevant vignette depicting realistic PTSD presentation with somatic triggers, dissociative features, and clear functional impairment in a workplace context that clinicians would readily encounter. | importance: Moderately important for learning due to its detailed illustration of somatic triggers and symptom cascades, though the repetitive, somewhat mechanical presentation reduces its educational impact. | g1_grounded: The vignette demonstrates solid clinical grounding with realistic trauma sequelae and somatic triggers, though the repetitive mechanistic descriptions of symptom cycles feel somewhat didactic rather than naturally observed. | g2_narrative: The vignette blends narrative elements with clinical explanations, reading partially as a symptom checklist with mechanistic descriptions of trigger cascades rather than a fully personal narrative. | g3_explicit: PTSD-relevant details including trauma exposure, re-experiencing symptoms, negative cognitions, hypervigilance, and functional impairment are explicitly and clearly articulated throughout the vignette. | g4_relevant: The vignette contains relevant clinical information but includes repetitive, mechanistic language that reads more like a theoretical model than a natural clinical presentation. | dsm_a: The vignette explicitly describes traumatic event exposure through a catastrophic earthquake where Linh was trapped under rubble for hours. | dsm_b: The vignette explicitly describes intrusion symptoms including emotional flashbacks with sensory re-experiencing and marked distress triggered by physical sensations and trauma-related cues. | dsm_c: The vignette lacks explicit description of avoidance behaviors; withdrawal from team is presented as a consequence of symptoms rather than deliberate avoidance of trauma reminders. | dsm_d: The vignette clearly depicts negative cognitions (distrust, beliefs about betrayal and chaos) and detachment/alienation from others as core features of Linh's presentation. | dsm_e: Hypervigilance is explicitly described (""constantly vigilant,"" ""heightened state of alert""), though other hyperarousal symptoms like startle, sleep problems, and irritability are absent. | dsm_g: The vignette explicitly describes occupational functional impairment including missing deadlines, withdrawing from his team, and suffering work performance. | ec_threat: The vignette explicitly demonstrates a sense of current threat through Linh's conviction that ""chaos and betrayal lurk beneath the surface of everyday life"" and his body interpreting normal sensations as ""signs of impending danger."" | ec_appraisals: The vignette explicitly demonstrates negative appraisals through Linh's beliefs that ""people are not what they seem"" and that ""chaos and betrayal lurk beneath the surface,"" as well as his conviction that he ""no longer belongs anywhere."" | ec_memory: The vignette shows some fragmentation (sensory without visual images) but does not explicitly demonstrate that the memory feels like it is happening now rather than in the past. | ec_strategies: The vignette lacks explicit description of maladaptive coping strategies; withdrawal and performance decline are presented as symptom consequences rather than deliberate coping behaviors. | ec_triggers: The vignette explicitly describes specific internal somatic triggers (neck pain, stomach ache, feeling physically unwell) that are not obviously linked to the earthquake trauma but powerfully activate re-experiencing symptoms."
2026-05-14T21:28:59.301305,claude-opus-4-5,V030,252,claude-haiku-4-5,full,3,3,3,3,3,3,3,1,1,0,1,1,1,1,1,0,0,1,"clarity: Exceptionally clear vignette with well-articulated trauma, symptoms, and functional impairment presented in accessible, well-organized prose. | relevance: Highly relevant vignette depicting realistic PTSD presentation in an older adult with complex trauma, institutional betrayal, and authentic treatment-seeking pathway. | importance: Excellent learning value due to complex symptom interplay, institutional betrayal themes, and nuanced presentation of emotional numbing versus hypervigilance in an older adult. | g1_grounded: The vignette demonstrates strong clinical authenticity with realistic PTSD symptom presentation, including memory fragmentation, hypervigilance, emotional numbing, and relational deterioration consistent with trauma literature. | g2_narrative: The vignette reads as a compelling personal narrative with symptoms emerging naturally from Kahu's story rather than being listed or catalogued. | g3_explicit: PTSD-relevant details are highly explicit and clearly identifiable across all symptom clusters, with specific behavioral manifestations and clear connection to the index trauma. | g4_relevant: The vignette contains only clinically relevant information with no misleading or confusing elements; all details serve the clinical picture. | dsm_a: The vignette explicitly describes Kahu witnessing a violent knife attack on his daughter-in-law in a hospital stairwell, including his attempt to intervene and the attacker turning the blade on him. | dsm_b: The vignette clearly depicts intrusion symptoms including distress at trauma cues (doors, crying babies) and being pulled back into the traumatic memory of the stairwell. | dsm_c: The vignette does not explicitly describe avoidance behaviors - neither internal avoidance of thoughts/feelings nor external avoidance of reminders related to the traumatic event. | dsm_d: The vignette explicitly depicts emotional numbing (""feels dead inside,"" ""hollowing out of joy""), negative beliefs about the world and institutions, self-blame for ""failure in the stairwell,"" and detachment from family. | dsm_e: The vignette explicitly describes multiple hyperarousal symptoms including hypervigilance, exaggerated startle response, and constant watchfulness that interferes with functioning. | dsm_g: The vignette explicitly describes functional impairment in family relationships (grandchildren visiting less), work performance (making customers uncomfortable with scrutiny), and marriage (wife frightened by his emotional absence). | ec_threat: The vignette explicitly demonstrates a sense of current threat through Kahu's belief that danger is perpetually imminent and that the world is fundamentally dangerous. | ec_appraisals: The vignette explicitly shows negative appraisals through Kahu's beliefs that he failed his family, that institutions have abandoned their duty, and that his ""failure in the stairwell that day has poisoned everything since."" | ec_memory: The vignette clearly depicts fragmented, disorganized memory but does not explicitly show the memory feeling like it's happening in the present rather than being recalled as a past event. | ec_strategies: The vignette describes PTSD symptoms but does not explicitly show maladaptive coping strategies like avoidance, thought suppression, substance use, or deliberately giving up activities. | ec_triggers: The vignette explicitly identifies multiple specific triggers (slamming doors, babies crying, unexpected movements) that activate re-experiencing of the traumatic stairwell event."
2026-05-14T21:29:03.185811,claude-opus-4-5,V029,299,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, with a well-organized narrative structure, precise symptom descriptions, and accessible prose that leaves no ambiguity about the clinical presentation. | relevance: Highly relevant to clinical practice, depicting a realistic and underrecognized presentation of caregiver medical trauma with authentic symptom presentation and cultural nuance. | importance: This vignette offers exceptional learning value by presenting an underrepresented trauma type (medical/caregiver trauma) with a complex clinical picture that challenges assumptions about PTSD requiring a ""negative outcome."" | g1_grounded: The vignette demonstrates strong clinical authenticity through realistic sensory details, accurate portrayal of caregiver trauma, and the well-documented phenomenon of persistent distress despite positive medical outcomes. | g2_narrative: The vignette reads as a deeply personal, emotionally resonant narrative that reveals PTSD symptoms through lived experience rather than clinical enumeration. | g3_explicit: PTSD-relevant details are highly explicit and systematically identifiable across all symptom clusters, with clear linkage to a well-defined traumatic event. | g4_relevant: The vignette contains only clinically relevant information that builds a coherent PTSD presentation without any confusing or misleading elements. | dsm_a: The vignette explicitly describes the traumatic event of the patient's son being diagnosed with leukemia and her 18-month experience of witnessing his treatment and near-death moments. | dsm_b: The vignette explicitly depicts intrusion symptoms including flashbacks (hearing the oncologist's voice, feeling the vinyl chair), nightmares (being back in the hospital room), and marked distress at cues (medical dramas, hospital smells, refrigerator hum). | dsm_c: The vignette explicitly describes multiple avoidance behaviors including avoiding the hospital parking lot, rubbing alcohol smell, photographs, medical dramas, news about sick children, and thoughts about the traumatic night. | dsm_d: The vignette demonstrates negative cognitions through Mrs. L.'s self-critical belief that she ""should be happy"" and her emotional detachment/numbing evidenced by hiding her suffering from her husband and son. | dsm_e: The vignette explicitly describes sleep disturbance (""At night, she does not sleep"") as a clear hyperarousal symptom. | dsm_g: The vignette clearly describes functional impairment in occupational (inability to focus at work, leaving early), sleep, and social domains (avoiding media, hiding distress from husband). | ec_threat: The vignette explicitly demonstrates a sense of current threat through Mrs. L.'s experience of feeling as though she is still in the traumatic situation, waiting for news that will never come. | ec_appraisals: The vignette shows negative appraisals through Mrs. L.'s belief that she ""should be happy"" and her inability to understand why she ""cannot move on,"" reflecting negative self-judgment about her ongoing symptoms despite her son's survival. | ec_memory: The vignette explicitly demonstrates fragmented sensory intrusions and the ""nowness"" quality of traumatic memory through specific passages showing Mrs. L. experiencing past sensations as present reality. | ec_strategies: The vignette explicitly depicts multiple maladaptive coping strategies including extensive avoidance behaviors, emotional suppression, and withdrawal from activities that maintain her PTSD symptoms. | ec_triggers: The vignette explicitly identifies multiple specific triggers including the refrigerator hum, microwave clock sounds, customer questions, and antiseptic smells that set off intrusive re-experiencing of the hospital trauma."
2026-05-14T21:29:10.376894,claude-opus-4-5,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, with a well-organized narrative structure, concrete symptom descriptions, and unambiguous presentation of the trauma and its aftermath. | relevance: Highly relevant to clinical practice with realistic symptom presentation, functional impairment across multiple domains, and a plausible treatment-seeking trajectory. | importance: Highly important for learning due to its comprehensive portrayal of chronic PTSD across multiple symptom clusters, realistic progression over time, and nuanced exploration of cognitive distortions and functional impairment. | g1_grounded: The vignette demonstrates strong clinical authenticity through realistic trauma context, accurate symptom progression over 13 years, and nuanced portrayal of PTSD features including hypervigilance, avoidance, intrusive symptoms, and survivor's guilt. | g2_narrative: The vignette reads as a deeply personal narrative with symptoms embedded naturally in Rima's life story, relationships, and evolving self-understanding rather than presented as a clinical checklist. | g3_explicit: PTSD-relevant details are highly explicit and systematically presented across all symptom clusters with clear behavioral examples. | g4_relevant: Exemplary clinical vignette with all details serving the PTSD presentation; no misleading, confusing, or extraneous information. | dsm_a: The vignette explicitly describes a traumatic IED attack and subsequent gunfire during military operations in Kandahar Province, with vivid sensory details and clear indication of life-threatening danger and loss of life. | dsm_b: The vignette clearly depicts intrusion symptoms including nightmares with dissociative qualities, and intense psychological distress at trauma cues (perfume, news footage, loud noises). | dsm_c: The vignette explicitly describes multiple forms of avoidance including avoiding restaurants, her sister's book club, news footage of conflict, and declining mentorship responsibilities. | dsm_d: The vignette explicitly demonstrates guilt, negative self-beliefs, and detachment through multiple clear statements about Rima's conviction that she failed others and deserves her suffering. | dsm_e: The vignette explicitly describes multiple hyperarousal symptoms including hypervigilance, exaggerated startle response, and chronic sleep disturbance with detailed, concrete examples throughout the narrative. | dsm_g: The vignette explicitly describes multiple domains of functional impairment including divorce, social withdrawal, occupational errors, and severe lifestyle restrictions. | ec_threat: The vignette explicitly demonstrates a sense of current threat through multiple passages showing Rima believes danger is imminent and experiences the trauma as still happening in the present moment. | ec_appraisals: The vignette explicitly depicts negative appraisals, including self-blame for the trauma (""I failed when it mattered most"") and misinterpretation of symptoms as evidence of personal deficiency rather than PTSD symptoms. | ec_memory: The vignette explicitly demonstrates fragmented, disorganized trauma memory with gaps (""a void, a black space"") and the present-moment quality of re-experiencing (""convinced she was still there,"" ""unable to distinguish between dream and danger""). | ec_strategies: The vignette explicitly depicts multiple maladaptive coping strategies including extensive avoidance behaviors, withdrawal from social activities, and life constriction that perpetuate PTSD symptoms. | ec_triggers: The vignette explicitly describes a specific trigger (perfume scent) that sets off distress, with the connection to the trauma being unclear even to Rima herself."
2026-05-14T21:30:52.538111,claude-opus-4-5,V056,403,gemini-2.5-flash,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"clarity: The vignette is exceptionally clear with a logical narrative progression, well-defined symptoms, concrete examples, and no confusing or ambiguous language. | relevance: Highly relevant vignette depicting realistic PTSD presentation with clear symptom manifestation, functional impairment, and treatment-seeking behavior that clinicians would readily recognize. | importance: Excellent learning vignette that comprehensively illustrates PTSD symptomatology, functional impairment, and the pathway to treatment-seeking across multiple life domains. | g1_grounded: The vignette presents a highly realistic clinical picture of chronic PTSD following a terrorist attack, with authentic symptom progression, sensory triggers, and functional impairment consistent with clinical literature and experience. | g2_narrative: The vignette reads as a compelling personal narrative with symptoms naturally embedded in Layla's life story rather than presented as a clinical checklist. | g3_explicit: PTSD symptoms are explicitly and comprehensively detailed across all diagnostic clusters with clear connections to the index trauma. | g4_relevant: The vignette presents only clinically relevant information with clear connections to PTSD symptomatology, containing no misleading details or confusing elements. | dsm_a: The vignette explicitly describes a market bombing as the traumatic event, with detailed sensory descriptions of the explosion and its immediate aftermath. | dsm_b: The vignette clearly and explicitly depicts intrusion symptoms including nightmares, physiological reactivity to cues (loud noises), and intense distress triggered by sensory reminders (perfume). | dsm_c: The vignette explicitly describes avoidance of external reminders, particularly open spaces and large public areas that remind her of the market bombing. | dsm_d: The vignette clearly and explicitly depicts negative cognitions including guilt about failing to protect her sister and profound self-blame about the trauma. | dsm_e: The vignette clearly depicts hyperarousal symptoms including exaggerated startle response, sleep disturbance with nightmares, and extensive hypervigilance behaviors. | dsm_g: The vignette clearly describes functional impairment in multiple domains including occupational difficulties and marital breakdown. | ec_threat: The vignette explicitly demonstrates a sense of current threat through multiple statements showing Layla believes the danger is still real and ongoing, particularly ""a part of her was terrified that the danger was still real, and that letting down her guard would only invite disaster."" | ec_appraisals: The vignette explicitly demonstrates negative appraisals through Layla's self-blame for failing to protect her sister and her belief that the trauma happened because of ""the sort of person she was."" | ec_memory: The vignette shows fragmented memory with gaps but does not explicitly describe the memory as feeling like it's happening in the present rather than the past. | ec_strategies: The vignette explicitly describes multiple maladaptive coping strategies including avoidance of open spaces, restricting herself to her apartment, constant environmental scanning, and hypervigilance that maintain her PTSD symptoms. | ec_triggers: The vignette explicitly describes specific triggers including sudden loud noises and a particular perfume scent that precipitate re-experiencing symptoms."
2026-05-14T21:30:56.763800,claude-opus-4-5,V039,252,deepseek-reasoner,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,1,1,"clarity: The vignette is exceptionally clear, with a well-structured narrative that presents the traumatic event and subsequent PTSD symptoms in vivid, unambiguous language that is easy to follow. | relevance: Highly relevant vignette depicting realistic workplace trauma with authentic PTSD symptom presentation in an underrepresented demographic (older adult male), reflecting scenarios clinicians commonly encounter. | importance: Highly important for learning due to its realistic portrayal of PTSD in an underrepresented demographic (elderly male, Pacific Islander) with a less common trauma type (witnessed workplace violence), presented through masterful narrative that facilitates engagement and clinical reasoning. | g1_grounded: The vignette presents a clinically authentic portrayal of PTSD following witnessed workplace violence, with realistic symptom presentation and believable psychological responses grounded in trauma literature. | g2_narrative: The vignette reads as a richly textured personal narrative with symptoms embedded naturally in the character's daily life and relationships, never feeling like a symptom checklist. | g3_explicit: PTSD-relevant details including the traumatic event, intrusive symptoms, avoidance, hypervigilance, sleep disturbance, and emotional numbing are all explicitly and clearly described throughout the vignette. | g4_relevant: All clinical information is relevant and clearly connected to the traumatic event; no misleading or confusing details present. | dsm_a: The vignette explicitly describes witnessing a fatal shooting at the workplace, with vivid sensory details of the traumatic event. | dsm_b: The vignette clearly depicts intrusion symptoms including nightmares (kicking and mumbling at night), distress at trauma cues (hoodies, birthmarks, automatic doors), and intrusive re-experiencing of the gunshot sound. | dsm_c: The vignette explicitly demonstrates avoidance behaviors including avoiding the customer service counter where the shooting occurred and refusing to speak about the traumatic event. | dsm_d: The vignette explicitly depicts emotional numbing (""cold space inside his chest""), detachment from his wife, and diminished interest in fishing, clearly meeting criteria for negative cognitions/mood. | dsm_e: The vignette explicitly depicts hyperarousal symptoms including exaggerated startle response (flinching at doors, coworkers avoiding tapping his shoulder), sleep disturbance (waking at 3:14 a.m., kicking and mumbling), and hypervigilance (constantly scanning doors, watching customers' hands). | dsm_g: The vignette clearly describes functional impairment across multiple domains including loss of interest in fishing, marital disruption, and workplace accommodations. | ec_threat: The vignette shows hypervigilance and avoidance but lacks explicit statements indicating the person feels the trauma is still happening or that the world is currently dangerous. | ec_appraisals: No explicit negative appraisals about the trauma or its aftermath are present; the man minimizes his symptoms as normal aging rather than interpreting them catastrophically. | ec_memory: The vignette presents the trauma memory as coherent and sequential rather than explicitly fragmented or disorganised, and does not describe the memory as feeling like it's happening in the present. | ec_strategies: Multiple maladaptive coping strategies are explicitly depicted including avoidance of trauma-related locations, emotional suppression, social withdrawal, and abandonment of previously enjoyed activities. | ec_triggers: The vignette explicitly describes multiple specific triggers including birthmarks on hands, hoodies, and automatic door sounds that provoke re-experiencing symptoms and distress."
2026-05-14T21:30:59.652609,claude-opus-4-5,V036,122,gpt-5.4,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, presenting PTSD symptoms through concrete behavioral descriptions and a coherent narrative arc without clinical jargon or confusing elements. | relevance: Highly relevant vignette depicting a realistic PTSD presentation with authentic symptom progression, functional impairment, and help-seeking pathway that clinicians would readily recognize. | importance: Highly important for learning due to its comprehensive, realistic portrayal of PTSD's interconnected symptom clusters and maintenance mechanisms. | g1_grounded: The vignette demonstrates strong clinical grounding through accurate portrayal of trauma memory fragmentation, sensory-triggered intrusions, and the self-perpetuating cycle of hypervigilance and avoidance characteristic of PTSD. | g2_narrative: The vignette reads as a cohesive personal narrative with natural progression, showing Rana's internal experience and psychological evolution rather than listing symptoms. | g3_explicit: PTSD symptoms across all clusters (intrusions, avoidance, negative cognitions, hyperarousal) are explicitly described with clear behavioral examples and direct statements of beliefs. | g4_relevant: The vignette contains only clinically relevant information with no confusing or misleading details; every element serves to illustrate PTSD symptomatology. | dsm_a: The vignette explicitly describes a mugging incident in a parking lot, providing clear details about the traumatic event including setting, sensory elements, and the threatening nature of the encounter. | dsm_b: The vignette clearly depicts intrusion symptoms through vivid descriptions of smell-triggered intrusive memories that arrive ""without warning"" and feel ""abrupt and overpowering."" | dsm_c: The vignette explicitly describes both internal avoidance (telling themselves the mugging wasn't real/serious, pushing the event away) and external avoidance (avoiding going out, lingering inside after shifts, asking partner for rides, organizing movements around safety). | dsm_d: The vignette explicitly demonstrates negative cognitions including beliefs that others cannot be relied upon, that the world is permanently dangerous, and persistent negative self-beliefs about being fundamentally changed and ""always miserable."" | dsm_e: The vignette explicitly describes hypervigilance through multiple clear examples of Rana staying tense, watchful, scanning surroundings, and repeatedly checking behind them both at home and at work. | dsm_g: Functional impairment is explicitly mentioned through restricted social activities, avoidance of going out, inability to participate in evening plans, and being emotionally absent in relationships. | ec_threat: The vignette explicitly demonstrates a sense of current threat through Rana's belief that the world has permanently changed, their constant vigilance even at home, and their stated experience of living ""as if it were still about to happen."" | ec_appraisals: The vignette explicitly demonstrates multiple negative appraisals about self, world, and others, including beliefs that the trauma permanently changed them, that others cannot be trusted, and that their symptoms prove they are no longer ""steady or safe."" | ec_memory: The vignette explicitly depicts fragmented, disorganized trauma memory that intrudes suddenly and feels like it's happening in the present rather than the past. | ec_strategies: The vignette explicitly depicts multiple maladaptive coping strategies including avoidance, thought suppression, denial, and safety behaviors, and shows how these maintain PTSD symptoms. | ec_triggers: The vignette explicitly describes specific olfactory triggers (disinfectant mixed with wet fur, stale smells) that are not obviously connected to the mugging but trigger full re-experiencing of the trauma."
2026-05-14T21:31:00.179191,claude-opus-4-5,V043,299,qwen3.6-35b,full,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"clarity: The vignette's clarity is compromised by overly mechanistic, theory-laden language that explains psychological processes rather than depicting a natural narrative. | relevance: The vignette presents a plausible trauma scenario but is undermined by overly mechanistic, theory-driven language that makes it feel more like a textbook illustration than a realistic clinical presentation. | importance: The vignette is overly didactic and mechanistic, reading more like a symptom-interaction diagram than a realistic clinical case, which limits its educational value. | g1_grounded: The vignette reads as a theoretical illustration of PTSD mechanisms rather than a realistic clinical presentation grounded in actual experience or literature. | g2_narrative: The vignette reads as a mechanistic symptom-chain explanation rather than a personal narrative, with explicit causal language dominating over natural storytelling. | g3_explicit: The vignette reads as a mechanistic symptom-chain diagram rather than a naturalistic clinical narrative, with explicit causal links between symptoms that feel artificial and didactic. | g4_relevant: The vignette reads as a mechanistic demonstration of PTSD symptom interactions rather than a realistic portrayal of a person, with overly explicit causal language that feels clinical and didactic. | dsm_a: The vignette explicitly describes a traumatic event: witnessing her son's sudden medical collapse and emergency hospitalization. | dsm_b: Distress at trauma-related cues is clearly present (medical equipment, first-aid kits, pharmacy signs), though flashbacks and nightmares are not described. | dsm_c: The vignette explicitly describes both internal avoidance (suppressing memories, avoiding emotional experiences) and external avoidance (avoiding clinics, first-aid cabinets, social invitations, and conversations about her son). | dsm_d: The vignette explicitly depicts guilt (""she was responsible for the loss,"" ""guilt that now dictates her avoidance""), negative beliefs about self (""fundamentally compromised""), emotional numbing (""avoiding anything that could cause negative or positive feelings""), and detachment from others. | dsm_e: The vignette explicitly describes multiple hyperarousal symptoms including exaggerated startle response, hypervigilance/scanning for danger, and chronic inability to relax. | dsm_g: The vignette explicitly describes functional impairment across occupational, social, and daily life domains, including difficulty managing her shop, avoiding social invitations, and canceling activities with her husband. | ec_threat: The vignette explicitly demonstrates a sense of current threat through statements that the world feels ""still unsafe"" and her environment feels ""perpetually fragile"" and like ""a trap."" | ec_appraisals: The vignette explicitly demonstrates negative appraisals through statements about self-blame (""conviction that she was responsible for the loss""), beliefs about being ""fundamentally compromised,"" and guilt about failed protection. | ec_memory: The vignette describes fragmented and inaccessible memory but does not explicitly show the memory feeling like it's happening now rather than in the past. | ec_strategies: The vignette explicitly describes multiple maladaptive coping strategies including avoidance, thought suppression, giving up activities, and reassurance-seeking that maintain PTSD symptoms. | ec_triggers: The vignette explicitly describes multiple specific triggers including medical equipment, first-aid kits, pharmacy signs, and notably the cash drawer's white receipt roll being mistaken for medical forms - demonstrating both obvious and non-obvious trauma cues."
2026-05-14T21:31:02.373937,claude-opus-4-5,V061,142,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, with a logical narrative structure, concrete behavioral descriptions, and no confusing or ambiguous language. | relevance: Highly relevant to clinical practice, depicting a realistic first responder with war-zone trauma exposure and a comprehensive, naturalistic PTSD presentation that clinicians would readily recognize. | importance: Highly important for learning due to its rich, realistic portrayal of cumulative trauma, moral injury, and PTSD symptomatology in a first responder deployed to a war zone. | g1_grounded: The vignette demonstrates strong clinical authenticity with realistic trauma exposure, symptom progression, and occupational context consistent with PTSD literature on first responders and humanitarian workers. | g2_narrative: The vignette reads as a compelling personal narrative with symptoms emerging naturally from lived experience rather than being listed clinically. | g3_explicit: PTSD-relevant details are highly explicit and clearly identifiable throughout the vignette, covering all major symptom clusters with specific, concrete examples. | g4_relevant: The vignette contains only clinically relevant information with no confusing or misleading elements; all details serve the PTSD presentation. | dsm_a: Traumatic event exposure is clearly and explicitly described, including war zone deployment, witnessing mass casualties, and a direct explosion during evacuation. | dsm_b: The vignette explicitly describes intrusive memories, trauma-related nightmares, and marked distress at trauma-related cues. | dsm_c: The vignette explicitly describes avoidance of discussing the deployment to protect himself from overwhelming memories and emotional reactions. | dsm_d: The vignette explicitly describes shame, guilt, self-reproach, detachment, and negative self-beliefs about being ""split"" from who he was before. | dsm_e: The vignette explicitly describes multiple hyperarousal symptoms including hypervigilance, exaggerated startle, sleep disturbance, and irritability. | dsm_g: Functional impairment is explicitly mentioned in both occupational (difficulty at work, quicker to anger, slower to recover) and social domains (avoidance of crowds, difficulty in restaurants, strained communication with wife). | ec_threat: The vignette explicitly demonstrates a sense of current threat through the protagonist living as if still in the war zone and his body responding to ordinary situations as if catastrophe is imminent. | ec_appraisals: The vignette shows negative appraisals through guilt about his reactions (""He feels guilty for that reaction""), self-reproach, and counterfactual thinking about what he could have ""predicted"" or ""prevented."" | ec_memory: The vignette explicitly describes fragmented memory processing (""replaying the moment in fragments"") and implies present-moment quality through persistent intrusions and living as if still in the war zone. | ec_strategies: The vignette explicitly describes avoidance of discussing the deployment and behavioral avoidance of crowds and situations, which are maladaptive coping strategies that maintain PTSD symptoms. | ec_triggers: The vignette explicitly identifies multiple specific triggers for re-experiencing, including the smell of diesel, certain accents, news footage, and emergency radio tones."
