timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,representativeness,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-12T13:42:48.650150,claude-opus-4-5-20251101,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents a compelling narrative of medical trauma PTSD in a middle-aged mother. It explicitly demonstrates all DSM-5 criteria including the traumatic event (son's near-fatal illness), intrusion symptoms (emotional flooding without clear imagery), avoidance (of medical settings, emotions, family gatherings), negative cognitions (self-blame, sense of injustice, belief the world is unsafe), and hyperarousal (hypervigilance, exaggerated startle, reassurance-seeking). The Ehlers & Clark components are also clearly present: sense of current threat (""waiting for the next disaster""), negative appraisals (""should have fought harder""), fragmented memory quality (""blur"" with emotional intrusions), maladaptive strategies (thought suppression, emotional numbing, avoidance), and specific triggers (blood, medical equipment, needles). The functional impairment is explicit—she cannot work normally, attend family events, or complete routine medical care."
2026-05-12T13:42:59.373997,claude-opus-4-5-20251101,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine personal narrative while comprehensively illustrating PTSD symptomatology. It explicitly depicts Criterion A (convoy attack), B (vivid nightmares, intrusive fragmented memories), C (avoidance of narrow roads, declining gatherings), D (emotional numbing, detachment, guilt, shame about shaking), E (hypervigilance, exaggerated startle, sleep disturbance, irritability), and G (concentration difficulties at work, divorce, social withdrawal). Ehlers & Clark components are clearly present: sense of current threat (""body keeps reacting as though danger is still present""), fragmented memory (""comes back in pieces""), negative appraisals (self-reproach, ""failed in some essential way""), maladaptive strategies (avoidance, social withdrawal), and specific triggers (file drawer slam, motorcycle backfire, narrow roads)."
2026-05-12T13:43:42.536794,claude-opus-4-5-20251101,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents a compelling, realistic narrative of torture-related PTSD. It explicitly demonstrates all DSM-5 criteria (trauma exposure, intrusive sensory memories, avoidance of reminders and thoughts, negative cognitions about self/world, hypervigilance and exaggerated startle) and functional impairment (declined promotions, frozen at work). The Ehlers & Clark components are richly illustrated: sense of current threat (""certain that the danger...is somehow still real""), negative appraisals (""her body cannot be trusted,"" ""no longer capable""), fragmented/nowness quality of memory (""smell the rust...as clearly as if she were standing in that room""), specific triggers (names, humidity, physical closeness), and maladaptive strategies (distraction, avoidance, makeup to cover scars). The narrative voice is authentic and the clinical details are grounded in trauma literature."
2026-05-12T13:43:51.962578,claude-opus-4-5-20251101,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents a compelling, realistic portrait of chronic PTSD in a military veteran with indirect trauma exposure. The narrative skillfully weaves together all DSM-5 criteria (Criterion A through indirect exposure to death, B through nightmares and flashbacks, C through extensive avoidance, D through emotional numbing/detachment/negative beliefs/guilt, E through hypervigilance/startle/sleep disturbance/irritability, G through marital breakdown and impaired relationships). Ehlers & Clark components are explicitly present: sense of current threat (""world is fundamentally unsafe""), negative appraisals (survivor's guilt, self-blame), sensory-driven memory with ""nowness"" quality during flashbacks, maladaptive strategies (avoidance, emotional suppression, rigid control), and specific triggers (diesel smell, jackhammer, sudden noises). The writing is literary yet clinically grounded, avoiding a checklist feel while making all relevant symptoms identifiable."
2026-05-12T13:44:02.561715,claude-opus-4-5-20251101,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine clinical narrative rather than a symptom checklist. It explicitly describes the traumatic event (being trapped during shelling), multiple intrusion symptoms (the afternoon ""remains vivid,"" body responding to nephew as threat), avoidance (stopped exercising due to interoceptive cues, pushing away positive emotions), negative cognitions (fear he has ""become someone his family needs to be careful around,"" feeling ""behind glass""), and hyperarousal (hypervigilance, scanning, exaggerated startle to nephew). The vignette particularly excels at illustrating the Ehlers & Clark model by explicitly showing how safety behaviors (exit-scanning, perimeter checks) maintain the sense of current threat rather than reducing it. The only E&C component not clearly present is fragmented/disorganized memory quality."
2026-05-12T13:44:12.059362,claude-opus-4-5-20251101,V006,112,qwen2.5-32b,no_formulation,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"This vignette is well-constructed with a clear narrative arc following Vinay from trauma exposure through symptom development to help-seeking. It explicitly demonstrates multiple DSM-5 criteria including Criterion A (hurricane disaster with physical injury), B (vivid sensory re-experiencing including taste and physical sensations), C (avoidance of workplace areas and discussing the trauma), D (distrust, detachment, isolation), E (hypervigilance to loud noises), and G (decreased work performance, social withdrawal). Ehlers & Clark components are also well-represented, particularly triggers (neck pain, physical sensations, loud noises), sense of current threat (""body constantly signaling danger""), and memory characteristics (surreal quality, fragmented emotional experiences without context). The only weakness is some redundancy in describing isolation and withdrawal across multiple paragraphs."
2026-05-12T13:44:21.093460,claude-opus-4-5-20251101,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,3,1,0,1,1,1,1,1,1,0,1,1,"This is an exceptionally well-crafted vignette that presents a nuanced, realistic portrayal of PTSD in a first responder. The narrative style is compelling and reads as genuine clinical material rather than a symptom checklist. The vignette excels at depicting hypervigilance, avoidance behaviors, and the sense of current threat. Notably absent are explicit intrusion symptoms (flashbacks, nightmares) and fragmented memory quality—the trauma memory is described coherently. The negative appraisal that relaxation/happiness is ""unsafe"" is explicitly stated and clinically significant."
2026-05-12T13:44:30.322678,claude-opus-4-5-20251101,V008,112,gemini-2.5-flash,full,3,3,3,3,3,3,3,2,1,1,0,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-constructed, presenting a rich narrative of PTSD following a natural disaster with excellent detail on somatic triggers, dissociative memory qualities, and negative appraisals. The Ehlers & Clark components are particularly well-illustrated, including the sense of current threat, fragmented/unreal memory quality, and specific triggers (neck pain, physical unwellness). However, Criterion C (avoidance) is not explicitly stated—while withdrawal is mentioned, it appears more as a consequence of hypervigilance and distrust rather than deliberate avoidance of trauma reminders. Some repetition of concepts (e.g., the trigger cascade) makes it slightly less concise than ideal."
2026-05-12T13:44:40.824131,claude-opus-4-5-20251101,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine personal narrative while comprehensively illustrating PTSD. It explicitly depicts Criterion A (IED attack in Kandahar), Criterion B (nightmares, flashbacks triggered by perfume, intrusive memories), Criterion C (avoidance of news footage, restaurants, unfamiliar spaces), Criterion D (guilt about the specialist's death, belief she ""failed when it mattered most,"" emotional numbing leading to divorce), Criterion E (hypervigilance, exaggerated startle response, sleep disturbance, concentration problems), and Criterion G (divorce, work errors, severely restricted life). The Ehlers & Clark components are also richly present: sense of current threat (""danger was imminent""), negative appraisals (""she was the kind of person who failed""), fragmented trauma memory (""the middle part... exists now only as a void""), maladaptive strategies (extensive avoidance, life constriction), and specific triggers (perfume, loud noises, conflict footage). The vignette's strength lies in its nuanced portrayal of chronic PTSD over 13 years with realistic functional deterioration."
2026-05-12T13:44:51.129074,claude-opus-4-5-20251101,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine clinical narrative rather than a symptom checklist. It explicitly describes Criterion A (witnessing violent incident), Criterion B (intrusive reactions to triggers like doors and babies), Criterion C (avoidance behaviors - moving away, stepping to stockroom), Criterion D (emotional numbing - ""gone flat and empty,"" negative cognitions about institutions failing), Criterion E (hypervigilance, exaggerated startle, scanning for threats), and functional impairment (exhaustion, narrowed life, seeking treatment). The Ehlers & Clark components are particularly well-represented: fragmented memory explicitly described, specific triggers identified (doors slamming, babies crying, sudden movement), maladaptive strategies (constant scanning, avoidance), and sense of current threat (living ""on guard,"" braced for danger). The negative appraisal about institutional failure is also present."
