timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-12T13:20:38.876543,gpt-5,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Rich, specific detail (e.g., scanning the store for medical cues, fleeing the blood draw) and a clear through-line from the child’s medical crisis to Mai’s beliefs (“any strong emotion invites disaster,” vigilance as safety) and coping (hypervigilance, reassurance seeking, avoidance) make this feel clinically lived-in. Intrusions as affect-only waves, fragmented memory, explicit triggers, and functional impairment are all shown. The only minor caveat is that the life threat is implied rather than named, though “almost too late” and the ICU-like context strongly indicate Criterion A exposure."
2026-05-12T13:21:07.222182,gpt-5,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Rich, specific case of a mid-career auditor/veteran whose convoy comes under fire; sensory fragments, nightmares, startle to office sounds, and concrete avoidance (routes, seating, silence) are clearly shown. The narrative traces trauma to appraisals (shame, failure), to hyperarousal and narrowing life, with an explicit current-threat stance (“always braced,” freezing at a backfire). Nearly every detail serves the clinical picture; a minor potential gap is limited explicit articulation of core beliefs beyond shame/failure, but overall it offers strong teaching value."
2026-05-12T13:21:34.092970,gpt-5,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally clear, specific, and clinically grounded, with vivid sensory triggers (rust/wet concrete, humid weather, name diminutive) and an articulated maintenance cycle. It traces trauma to appraisals (world dangerous, body unreliable) to behaviors (avoidance, concealment, relentless distraction) and shows how these strategies backfire, producing impairment (frozen at machine, declined promotions). Sense of current threat and intrusive, sensory-dominant memory are explicit, making it highly instructive beyond textbook description."
2026-05-12T13:22:18.365673,gpt-5,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally clear, concrete, and clinically textured: specific triggers (diesel, jackhammer, binder drop, crowd cheers), control rituals (arriving 6:15, back to wall, mapping exits), and functional costs (marriage dissolution, missed soccer games, ruined concentration). DSM-5 features are explicit: Criterion A (ambushed convoy; casualty identification), B (vivid nightmares; flashback-like “glitches”), C (avoids war content, routes, crowds), D (numbness, detachment, guilt, “world is fundamentally unsafe”), E (hypervigilance, startle, anger), G (impairment at work/home). Ehlers & Clark elements are also clear: live sense of threat (“cheers feel like an attack”), negative appraisals (world unsafe; survivor guilt), here-and-now memory quality (office lights dissolve to field lamp), and maintaining strategies (rigid control/avoidance). Minor non-load-bearing demographic detail slightly diffuses focus, hence g4=2 rather than 3."
2026-05-12T13:22:54.344765,gpt-5,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"Richly specific, clinically grounded writing traces a clear line from the conflict-zone incident to Aleksander’s ongoing sense of current threat, safety behaviors, and interpersonal/occupational impact. It explicitly illustrates a key maintenance cycle (safety behaviors and interoceptive avoidance amplifying vigilance), offering learning value beyond a textbook. Intrusion phenomena are shown as marked physiological/distress reactions to cues rather than classic flashbacks/nightmares, and the nature of the trauma memory (fragmented/now) is not explicitly depicted."
2026-05-12T13:23:19.927029,gpt-5,V006,112,qwen2.5-32b,no_formulation,3,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,"Concrete sensory and interoceptive triggers (neck pain, metal-like taste, sudden loud noises) and specific workplace avoidance/impairment make this clinically recognizable. DSM-5 criteria are clearly represented, and Ehlers & Clark components (current threat via body signals, fragmented sensory memory, avoidance) are explicit. The narrative is readable but leans on some generic phrasing and the link between the disaster and global distrust of others is underdeveloped, reducing groundedness and narrative cohesion."
2026-05-12T13:23:57.736289,gpt-5,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,0,1,1,1,1,1,1,0,1,1,"Highly specific, clinically grounded details trace a clear line from the war‑zone shift to persistent hypervigilance, safety behaviors, and the belief that relaxation is unsafe. It shows nuanced maintenance cycles (e.g., avoiding exercise and positive affect because they mimic arousal), with concrete functional impairments at home, socially, and at work. The main limitation is the lack of explicit intrusion phenomena or description of trauma memory quality."
2026-05-12T13:24:39.612857,gpt-5,V008,112,gemini-2.5-flash,full,3,3,3,3,3,3,3,1,1,0,1,1,1,1,1,1,1,1,"Rich, concrete sensory details (acrid dust taste, neck-position pain) and interoceptive cues tie the earthquake entrapment to present re-experiencing and hypervigilance, with explicit negative appraisals (“people are not what they seem,” no longer belongs) and clear functional impairment at work. The dissociative, image-poor memory quality and the widening of innocuous bodily sensations into perceived danger illustrate Ehlers & Clark mechanisms and specific triggers a clinician would recognize. The only notable gap is a lack of explicit avoidance of reminders, hence Criterion C is scored absent."
2026-05-12T13:24:54.539996,gpt-5,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally clear, specific, and clinically textured: a distinct person, role (embedded logistics auditor), and trauma sequence with fragmented memory and guilt. Intrusions, hypervigilance, avoidance, negative appraisals, and functional impairment are all shown in action with concrete triggers (perfume, alarms, news footage) and safety behaviors (back-to-wall seating, route control, blinds/locks). It teaches nuanced maintenance cycles—how hypervigilance becomes an identity and reinforces a persistent sense of current threat—making it highly valuable for trainees."
2026-05-12T13:25:26.653645,gpt-5,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Vignette is precise and richly detailed (doors slamming, babies crying, scanning hands), with a clear through-line from the witnessed violent incident to fragmented memory, current-threat appraisals, avoidance/safety behaviors, and numbing. PTSD features are explicit (distress at cues, hypervigilance/startle, avoidance, negative mood/cognitions, functional distress) and it adds useful nuance (late-life presentation, institutional betrayal, idiosyncratic triggers). Only minor weakness is that Criterion A could be more explicit about death/serious injury and there are no nightmares/flashbacks, but distress at reminders and memory fragmentation are clearly shown."
2026-05-12T13:25:55.460372,gpt-5,V011,239,claude-haiku-4-5,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,"Precise, idiosyncratic details (e.g., dropping to the market floor after a car backfire; locking himself in the bedroom during fireworks) make the case feel lived-in and clinically recognisable. The trauma is explicit, functional impairment and avoidance rituals are clear, and the line that safety is something he can only construct via meticulous control captures a key Ehlers & Clark mechanism (current threat/appraisal). The only thin spot is the nature of the trauma memory; beyond nightmares, the text does not show a fragmented, present-tense memory experience."
2026-05-12T13:26:31.187450,gpt-5,V012,252,qwen3.6-35b,zero_shot,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally specific and coherent: it shows a witnessed violent event and traces how sensory triggers at work evoke immediate alarm, with clear avoidance and safety behaviors that maintain hyperarousal over decades. Clinically rich details (scanner beep, shouts, dropped box, standing by the door, service entrance, scanning hands/jackets) make intrusion, avoidance, and arousal explicit, alongside negative beliefs about ongoing danger and significant sleep-related distress. Minor biographical texture (heritage, family) slightly diffuses focus, but overall this reads as a lived case rather than a checklist and offers strong training value."
2026-05-12T13:26:57.327431,gpt-5,V013,149,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Rich, specific narrative of a parole officer assaulted by a colleague, producing betrayal-based appraisals and clear PTSD features. Explicit present-threat interpretations (silence and racing heart signal imminent danger), fragmented/derealized memory, concrete avoidance and functional impairment are shown with occupational detail. Highly teachable nuance around institutional betrayal and interoceptive cues maintaining hyperarousal; minimal extraneous detail."
2026-05-12T13:27:24.016256,gpt-5,V014,112,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally clear, specific, and clinically textured. The trauma is concrete (waist‑high floodwater), intrusions are sensory and fragmented (taste of brackish water; rushes of fear without images), and triggers include both interoceptive cues (neck ache, feeling unwell) and environmental cues (evacuation maps, headlines). It traces trauma → appraisals (difference, mistrust) → behaviours (monitoring, avoidance of disclosure, organizing days to avoid being caught off guard) with functional impact. Minor gap: limited detail on sleep/startle or overt occupational impairment, but overall very strong."
2026-05-12T13:27:52.284818,gpt-5,V015,252,gpt-5.4,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Richly specific, clinically grounded narrative that traces witnessing a street assault to enduring sense of current threat and safety behaviors. Intrusions (images, nightmares, moments of being ""back on that street""), explicit avoidance, hypervigilance/startle, irritability, and sleep disturbance are shown with concrete triggers (raised voices, dropped box, young men moving quickly) and clear functional impairment at work and socially. The cashier context (feeling trapped behind the register, pretending to count change while scanning) and self-critical appraisals add useful clinical nuance."
2026-05-12T13:28:12.970911,gpt-5,V016,311,qwen3.6-35b,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally vivid, specific details tie trauma to present-moment reactions and functioning (e.g., factory press rhythm syncing with her heartbeat, grease feeling like dried blood), yielding a coherent personal narrative rather than a checklist. PTSD features are explicit across domains: torture exposure, nightmares and sensory intrusions, marked avoidance, hypervigilance/startle, and clear functional impairment at work and in relationships. It also conveys mechanisms central to Ehlers & Clark—current threat, sensory-fragmented memory, negative self-appraisals (“the hands that made her”), and coping via repetition/avoidance—making it highly instructive beyond textbook presentations."
2026-05-12T13:28:32.691200,gpt-5,V017,122,qwen3.6-35b,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally vivid, clinically grounded narrative that traces the assault (knife-point mugging) through specific beliefs, safety behaviors, triggers, and functional/interpersonal impact. PTSD features are explicitly shown (nightmare about the alley/hospital corridor, avoidance of the bodega and alley storage room, hypervigilant sleep with locked door and knife, startle to backfires, relationship strain). Strong teaching value in how safety behaviors (locks, knife, route changes) and partner accommodations maintain a felt current threat; minor poetic flourishes never obscure clinical clarity."
2026-05-12T13:28:58.351406,gpt-5,V018,384,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Exceptionally specific and clinically grounded: it traces a clear line from the rape to guilt-laden appraisals, to restrictive control strategies (food, refusal to rest), to sustained hypervigilance and functional impairment. Concrete triggers (silence, the storage-room doorway) and the fragmented, image-based memory are explicitly shown, along with Ehlers & Clark maintenance mechanisms. Minor potential gaps (e.g., no nightmares/startle) do not detract from its strong teaching value."
2026-05-12T13:29:20.927374,gpt-5,V019,384,gpt-4o-mini,full,2,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"Strong, explicit linkage from the assault to wordless, snapshot-like intrusions, shame (“I deserve to suffer”), and control rituals (rigid eating/routines) that maintain a felt current threat; concrete triggers (silence, husband’s delay) and functional impairment at work are shown. This illustrates the maintenance cycle beyond a textbook checklist. Weaknesses are repetition and some generic phrasing, with limited additional concrete situational detail, so parts feel somewhat formulaic."
2026-05-12T13:29:53.783449,gpt-5,V020,149,gpt-4o-mini,zero_shot,3,3,3,3,3,3,2,1,1,1,1,1,1,0,1,0,1,1,"Rich, specific narrative of witnessing a fatal police shooting with clear intrusions (looping replay, vivid nightmares, faces morphing), avoidance/suppression, withdrawal, hyperarousal/sleep disturbance, guilt and disillusionment, and functional impairment at work and home. Occupational triggers (clients’ stories) and coping via overwork/suppression are well shown, anchoring clinical thinking beyond a checklist. Minor weakness: some ornamental description and no explicit statement of ongoing physical danger or fragmented “nowness” of the memory per Ehlers & Clark."
2026-05-12T13:30:41.223518,gpt-5,V021,252,qwen2.5-32b,full,3,3,3,3,3,3,2,1,1,0,1,1,1,1,1,1,1,1,"Realistic workplace assault with concrete sensory triggers (babies crying, doors slamming) and functional fallout (leaving early, strained relationships) grounds the case. It traces a clear maintenance cycle—fragmented memory, negative appraisals (institutional betrayal, fear of losing control), and hypervigilant scanning—driving a persistent sense of current threat. Minor weakness: occasional clinical labeling and a few non-load‑bearing demographic details slightly dilute focus."
2026-05-12T13:31:02.666446,gpt-5,V022,122,claude-haiku-4-5,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Highly specific sensory details and a clear through-line from the assault to beliefs and safety behaviors make this read as a real case. It vividly demonstrates the Ehlers & Clark maintenance cycle—hypervigilance/checking and avoidance amplifying intrusions and a felt current threat—with concrete functional impairment at work and in relationships. Minor quibble: an occasional theoretical label (“magical thinking”) appears, but it remains anchored in lived experience."
