timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,representativeness,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,dsm_valid,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-11T22:06:28.417009,claude-opus-4-5-20251101,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette depicting PTSD following a medical trauma involving the near-death of a child. It excels in presenting a rich personal narrative with clear DSM criteria: traumatic exposure (Criterion A), intrusive emotional re-experiencing without clear imagery (B), extensive avoidance including emotional numbing (C), negative cognitions including self-blame and anger at the medical system (D), marked hyperarousal with hypervigilance, startle response, and reassurance-seeking (E), and significant functional impairment (G). The Ehlers & Clark elements are beautifully illustrated—fragmented memory quality, sense of current threat, specific triggers (blood, medical equipment), maladaptive strategies (thought suppression, avoidance of positive emotions), and negative appraisals about self and the world. The cultural context adds authenticity without being stereotypical."
2026-05-11T22:06:36.232100,claude-opus-4-5-20251101,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents a comprehensive and clinically accurate portrayal of combat-related PTSD. The narrative beautifully captures the fragmented nature of trauma memory, the sense of ongoing threat (""body keeps reacting as though the danger is still present""), hypervigilance, emotional numbing, avoidance behaviors, and functional impairment. The vignette reads as a genuine personal narrative while explicitly demonstrating all DSM-5 criteria and Ehlers & Clark cognitive model elements, including maladaptive coping strategies (avoidance, withdrawal) and negative appraisals (shame, self-reproach, sense of failure)."
2026-05-11T22:06:44.642736,claude-opus-4-5-20251101,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine clinical narrative rather than a symptom checklist. It masterfully illustrates the Ehlers & Clark cognitive model of PTSD, showing how fragmented sensory memories (olfactory recall), negative appraisals (body cannot be trusted, self as diminished), sense of current threat, specific triggers, and maladaptive coping strategies (avoidance, distraction, covering scars) maintain the disorder. The functional impairment is clearly demonstrated through declined promotions and the freezing episode. The writing captures the phenomenology of trauma with clinical accuracy and literary quality."
2026-05-11T22:06:52.933246,claude-opus-4-5-20251101,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents a highly realistic and clinically grounded portrayal of chronic PTSD following military-related trauma. The narrative beautifully captures all DSM-5 criteria while weaving them into a compelling personal story rather than a symptom checklist. The Ehlers & Clark cognitive model elements are richly represented—the sense of current threat (diesel smell, jackhammer triggers), negative appraisals (""world is fundamentally unsafe,"" survivor's guilt), fragmented sensory memory qualities (radio static, smell of diesel), and extensive avoidance/safety behaviors. The metaphor of ""watching life from behind bulletproof glass"" and her approach to therapy as ""maintenance"" rather than healing powerfully illustrates emotional numbing and avoidance strategies."
2026-05-11T22:07:06.863154,claude-opus-4-5-20251101,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine clinical narrative rather than a symptom checklist. It excels in demonstrating the cognitive model of PTSD maintenance—showing how safety behaviors (exit scanning, avoidance of elevated heart rate) paradoxically maintain the sense of current threat. The vignette captures intrusion (vivid memory of the corridor), avoidance (stopping exercise, emotional numbing), negative cognitions (fear of becoming dangerous to family), hyperarousal (hypervigilance, exaggerated startle to nephew), and functional impairment (marital strain, occupational difficulties). The description of interoceptive triggers and the maintenance cycle is particularly sophisticated and clinically accurate."
2026-05-11T22:13:23.618848,claude-opus-4-5-20251101,V006,112,qwen2.5-32b,no_formulation,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,"This is a well-constructed vignette that comprehensively covers PTSD symptomatology following a natural disaster. It effectively portrays intrusion symptoms (vivid sensory memories, physical triggers), avoidance (avoiding workplace areas, not discussing trauma with family), negative cognitions (distrust, isolation, feeling disconnected), hyperarousal (sensitivity to loud noises), and clear functional impairment (work performance, social relationships). The Ehlers & Clark elements are well-represented including sense of current threat, fragmented/surreal memory quality, and specific triggers. The narrative flows naturally and feels clinically authentic. Minor weakness: some details about distrust and suspicion feel slightly elaborated beyond typical presentation."
2026-05-11T22:13:32.598419,claude-opus-4-5-20251101,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that presents PTSD through a nuanced, narrative lens. It excels at depicting the sense of current threat (safety feels conditional everywhere), hypervigilance (constant exit-scanning, wariness of strangers), avoidance behaviors (avoiding exercise, pushing away positive emotions), and negative appraisals (belief that relaxation is dangerous). The trauma memory quality is subtly conveyed through how the index event ""did not feel finished."" Functional impairment is clearly shown in marital strain and daily life constriction. The vignette reads as authentic clinical material rather than a symptom checklist, with particularly strong depiction of safety behaviors and the cognitive-behavioral maintenance cycle."
2026-05-11T22:13:40.889030,claude-opus-4-5-20251101,V008,112,gemini-2.5-flash,full,3,3,2,2,2,3,2,1,1,0,1,1,1,0,1,1,1,0,1,"The vignette clearly describes a traumatic earthquake event with vivid sensory re-experiencing, somatic triggers, and functional impairment at work. However, the presentation feels somewhat over-constructed with bolded terms that read more like a symptom checklist than a natural clinical narrative. The emphasis on distrust of others as a primary symptom is somewhat unusual for earthquake trauma and the absence of explicit avoidance behaviors (Criterion C) is notable. The dissociative quality of memory and sense of current threat are well-articulated from an Ehlers-Clark perspective."
2026-05-11T22:13:52.472437,claude-opus-4-5-20251101,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine personal narrative while comprehensively illustrating PTSD phenomenology. It excels in depicting the fragmented nature of trauma memory, the sense of ongoing threat, negative self-appraisals (self-blame, belief she ""deserved"" to live this way), and extensive avoidance and safety behaviors. The vignette captures hyperarousal symptoms (startle response, hypervigilance, sleep disturbance), intrusion symptoms (nightmares, dissociative flashbacks, cue-triggered distress), and significant functional impairment across relationships, work, and daily life. The cognitive model elements are particularly well-represented, including the sense of current threat and maladaptive coping strategies that maintain the disorder."
2026-05-11T22:14:01.323651,claude-opus-4-5-20251101,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is an exceptionally well-crafted vignette that reads as a genuine clinical narrative rather than a symptom checklist. It portrays an older adult male who witnessed violence, with beautifully articulated fragmented trauma memory (""scattered images and sensations""), clear hypervigilance (tracking hands, watching doors, scanning for threats), avoidance behaviors (moving away from triggers, avoiding certain customers), emotional numbing (""gone flat and empty""), and specific triggers (door slamming, babies crying, sudden movements). The cognitive appraisals about institutional failure and the sense of ongoing threat are woven naturally into the narrative. The functional impairment is subtle but present—he continues working but with significant effort and narrowed life. The vignette captures the phenomenology of PTSD with clinical authenticity."
