timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-14T21:59:35.160835,deepseek-chat,V074,122,qwen3.6-35b,full,3,3,3,3,3,3,2,1,1,1,1,1,1,0,1,1,1,1,"clarity: The vignette is exceptionally clear, using specific, vivid details to depict Samir's internal experience and behavioral responses without ambiguity. | relevance: The vignette provides rich, specific clinical details about how Samir's PTSD manifests in his daily life, making it highly relevant to real-world PTSD practice. | importance: The vignette teaches a specific clinical nuance about the reciprocal relationship between intrusive memories and negative appraisals, offering high educational value for trainees. | g1_grounded: The vignette is grounded in specific, vivid clinical details that capture the unique paradoxes and situational triggers of this individual's PTSD. | g2_narrative: The vignette provides a coherent internal logic connecting the traumatic event to specific beliefs, which in turn drive specific behaviors that maintain PTSD in a clinically meaningful way. | g3_explicit: PTSD features are explicitly named and shown in action, not merely implied. | g4_relevant: The vignette is mostly focused on relevant clinical information, with one sentence that adds atmosphere without connecting to a symptom or maintaining cycle. | dsm_a: The vignette clearly describes a directly experienced traumatic event involving threat of serious harm with a weapon. | dsm_b: The vignette explicitly depicts multiple intrusion symptoms, including involuntary sensory flashbacks triggered by trauma reminders. | dsm_c: The vignette explicitly describes avoidance of trauma-related external reminders (workplace) and internal thoughts/feelings (minimizing the event). | dsm_d: The vignette clearly and explicitly includes persistent negative beliefs about oneself and others, meeting Criterion D. | dsm_e: The vignette explicitly depicts hypervigilance and exaggerated startle, meeting DSM-5 Criterion E for hyperarousal/reactivity. | dsm_g: The vignette clearly describes both distress and functional impairment, meeting DSM-5 Criterion G. | ec_threat: The vignette describes hypervigilance and fear of future danger but lacks an explicit statement that the person feels the trauma is still happening or that the threat is currently present. | ec_appraisals: The vignette contains explicit negative appraisals about permanent damage and loss of safety following the trauma. | ec_memory: The vignette explicitly describes the trauma memory as fragmented, disorganized, and experienced as if occurring in the present moment. | ec_strategies: The vignette clearly describes avoidance as a maladaptive coping strategy that backfires by intensifying hypervigilance and maintaining PTSD symptoms. | ec_triggers: The vignette clearly identifies specific sensory triggers (olfactory cues) that activate trauma memory and distress."
2026-05-14T21:59:35.696581,deepseek-chat,V067,299,gpt-5.4-mini,zero_shot,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,0,1,"clarity: The vignette uses specific, observable behaviors and internal experiences to clearly depict the character's PTSD symptoms and their impact. | relevance: The vignette provides rich, specific details about how the trauma reshapes her daily behavior, avoidance, and sense of safety, making it highly relevant to real-world PTSD practice. | importance: This vignette provides high educational value by illustrating a nuanced, non-combat PTSD presentation with specific clinical details about hypervigilance, avoidance, and altered sense of safety that would deepen a trainee's understanding of how trauma reshapes cognition and behavior. | g1_grounded: The vignette is written from inside the patient's specific experience, with precise situations and sensory details that make the trauma and its aftermath feel unique and clinically realistic. | g2_narrative: The vignette traces a coherent through-line from the child's illness to the belief that she cannot protect her family, which drives her hypervigilance, avoidance, and emotional withdrawal, making the PTSD symptoms feel personally meaningful and clinically grounded. | g3_explicit: PTSD features are identifiable but require effort to connect to the disorder, as they are implied rather than explicitly named or shown in action. | g4_relevant: The vignette contains distracting, irrelevant content (e.g., age, ethnicity, business details) that does not serve the clinical picture. | dsm_a: The vignette clearly describes a life-threatening medical event involving her child, meeting DSM-5 Criterion A for trauma. | dsm_b: The vignette explicitly depicts intrusion symptoms through vivid, involuntary distress at trauma reminders. | dsm_c: The vignette contains multiple explicit examples of avoidance of trauma-related external reminders, meeting DSM-5 Criterion C. | dsm_d: The vignette explicitly describes a persistent negative belief about the world (lack of safety and control) stemming from the trauma, satisfying Criterion D. | dsm_e: The vignette clearly and explicitly includes hypervigilance, exaggerated startle, and irritability, satisfying Criterion E. | dsm_g: The vignette clearly describes both distress (e.g., distress from reminders) and functional impairment (e.g., reduced ease in performing roles), meeting DSM-5 Criterion G. | ec_threat: The vignette explicitly conveys a sense of current threat through the description of ongoing vigilance and expectation of future emergency. | ec_appraisals: The vignette explicitly shows a negative appraisal of the trauma's implications, specifically a learned sense of helplessness and loss of control that is catastrophic in nature. | ec_memory: The vignette explicitly describes the trauma memory as fragmented sensory intrusions that feel present rather than past. | ec_strategies: The vignette lacks explicit depiction of a maladaptive coping strategy that perpetuates PTSD symptoms. | ec_triggers: The vignette clearly identifies specific sensory triggers (hospital sounds) that reliably evoke trauma-related distress."
2026-05-14T21:59:36.580751,deepseek-chat,V037,142,qwen2.5-32b,no_formulation,3,3,3,1,2,3,3,1,0,1,1,1,1,1,0,0,0,1,"clarity: The vignette is precise and specific, clearly showing what the person does, thinks, and feels, and why. | relevance: The vignette provides rich, specific details about how Ethan's PTSD manifests in daily life, making it highly relevant to clinical practice. | importance: This vignette provides high educational value by illustrating a nuanced PTSD symptom—avoidance of positive emotions—that deepens clinical understanding beyond generic symptom lists. | g1_grounded: The vignette uses generic phrasing and symptom lists that could describe any PTSD patient, lacking the specific, inside-the-person details needed for a score of 2 or 3. | g2_narrative: The vignette shows a coherent through-line from trauma to hypervigilance and avoidance, but the specific beliefs driving avoidance of positive emotions and isolation are not fully explained, making the internal logic partial. | g3_explicit: PTSD features such as hypervigilance, avoidance, and negative alterations in mood are explicitly named and demonstrated through specific behaviors and cognitions. | g4_relevant: Every detail in the vignette serves the clinical picture of PTSD, with no distracting or irrelevant content. | dsm_a: The vignette explicitly describes a traumatic event involving direct exposure to serious injury or death during a bombardment. | dsm_b: The vignette lacks any explicit description of intrusion symptoms (flashbacks, nightmares, or intense distress at reminders) as required by DSM-5 Criterion B. | dsm_c: The vignette clearly depicts avoidance of internal emotional reminders (positive feelings) linked to the traumatic event. | dsm_d: The vignette clearly depicts emotional numbing and avoidance of positive emotions, meeting Criterion D. | dsm_e: The vignette clearly and explicitly depicts hypervigilance, a key symptom of Criterion E. | dsm_g: The vignette explicitly describes clinically significant distress and functional impairment in both social and occupational domains, directly fulfilling DSM-5 Criterion G. | ec_threat: The vignette clearly conveys that Ethan experiences the trauma as ongoing and present danger, not just a past event. | ec_appraisals: The vignette describes hypervigilance and safety behaviors but lacks an explicit statement of catastrophic or overly negative appraisals of the trauma or its aftermath. | ec_memory: The vignette does not explicitly depict the nature of the trauma memory as fragmented, disorganized, or as if it is happening in the present. | ec_strategies: The vignette describes avoidance and safety behaviors but does not show them backfiring or perpetuating PTSD symptoms. | ec_triggers: The vignette explicitly describes a specific internal trigger (physical exertion sensations) that reliably activates trauma memory or distress."
2026-05-14T21:59:36.836194,deepseek-chat,V075,311,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, using concrete, specific descriptions of Amina's thoughts, behaviors, and feelings that make her experience vivid and unambiguous. | relevance: The vignette is richly relevant to PTSD practice, with concrete, individualized details that illustrate how the trauma shapes the patient's daily life in a way a clinician would find authentic and informative. | importance: This vignette provides high educational value by illustrating a nuanced clinical presentation of PTSD, specifically the paradoxical experience of trauma memory being both intensely real and unreal, which teaches trainees a specific insight about dissociation and memory. | g1_grounded: The vignette is grounded in realistic clinical experience, offering precise, individualized details about Amina's triggers, coping mechanisms, and internal experience that go beyond generic PTSD descriptions. | g2_narrative: The vignette provides a coherent internal logic connecting the trauma's extreme nature to specific beliefs about unreality and danger, which drive identifiable avoidance and hypervigilance behaviors, making the PTSD picture feel personally meaningful and clinically grounded. | g3_explicit: PTSD features are explicitly named and demonstrated through specific behaviors and experiences, not merely implied. | g4_relevant: The vignette is mostly focused on PTSD symptoms and maintaining factors, but includes a brief, irrelevant mention of divorce that does not serve the clinical picture. | dsm_a: The vignette clearly and explicitly describes a traumatic event (torture) that meets DSM-5 Criterion A. | dsm_b: The vignette explicitly describes a trauma-related olfactory flashback that brings back intense distress and a sense of immediacy, satisfying DSM-5 Criterion B. | dsm_c: The vignette clearly depicts avoidance of trauma-related external reminders (specific clothing) and internal experiences (keeping mind occupied to avoid thoughts/sensations). | dsm_d: The vignette explicitly includes persistent negative beliefs about oneself and the world, meeting Criterion D. | dsm_e: The vignette explicitly depicts exaggerated startle and hypervigilance, satisfying Criterion E. | dsm_g: The vignette explicitly describes clinically significant distress and functional impairment in work and home life. | ec_threat: The vignette explicitly conveys that Amina feels danger is present in the here and now, not just a memory of past harm. | ec_appraisals: The vignette explicitly includes a negative appraisal where the character interprets her body's reactions as proof of permanent unreliability, rather than a normal response to trauma. | ec_memory: The vignette explicitly portrays the trauma memory as fragmented, disorganized, and feeling immediate rather than a coherent autobiographical memory. | ec_strategies: The vignette explicitly shows maladaptive coping strategies (e.g., keeping constantly occupied, avoiding certain clothes) that backfire by increasing exhaustion and failing to reduce symptoms. | ec_triggers: The vignette clearly identifies a specific internal/external cue (a smell) that reliably triggers trauma memory and distress."
2026-05-14T21:59:36.869977,deepseek-chat,V057,149,gpt-4o-mini,full,1,2,2,1,2,3,1,1,1,0,1,1,1,1,1,0,1,1,"clarity: The vignette is hard to follow due to repetitive, abstract, and metaphorical language that lacks precise, concrete details about Carlos's thoughts, feelings, and behaviors. | relevance: The vignette covers expected PTSD symptom domains (hypervigilance, avoidance, negative appraisals) but remains thin and repetitive, lacking the specific, individualized details that would make it richly relevant to clinical practice. | importance: The vignette teaches only generic PTSD knowledge (hypervigilance, negative appraisals) without providing specific clinical nuance or insight that would enhance a trainee's learning. | g1_grounded: The vignette relies on generic symptom descriptions and lacks the specific, individualized detail needed to feel grounded in a real person's clinical experience. | g2_narrative: The vignette shows a clear link between trauma and hypervigilance, but the internal logic connecting trauma to specific beliefs to specific behaviors is partial and repetitive rather than fully traced. | g3_explicit: PTSD features such as re-experiencing, hypervigilance, negative appraisals, and avoidance are named and shown in action throughout the vignette. | g4_relevant: The vignette contains substantial redundant and repetitive content that does not contribute to the clinical picture, making it distracting and poorly edited. | dsm_a: The vignette explicitly describes a directly witnessed traumatic event involving serious injury and threat of harm. | dsm_b: The vignette clearly and explicitly describes flashbacks and intense distress at reminders of the trauma, satisfying DSM-5 Criterion B. | dsm_c: The vignette lacks explicit examples of avoidance of trauma-related external reminders (places, people, situations) as required for DSM-5 Criterion C. | dsm_d: The vignette clearly and explicitly includes persistent negative beliefs about the self, meeting Criterion D. | dsm_e: The vignette clearly and explicitly describes hypervigilance and exaggerated startle responses to silence and sounds, meeting DSM-5 Criterion E. | dsm_g: The vignette clearly describes that the distress from PTSD symptoms led Carlos to seek help, meeting Criterion G. | ec_threat: The vignette repeatedly describes Carlos feeling that danger is currently present and could erupt at any moment, meeting the criterion for sense of current threat. | ec_appraisals: The vignette contains explicit negative appraisals, such as believing he is permanently damaged and undeserving of safety, which meets the criterion for this dimension. | ec_memory: The vignette does not explicitly depict the trauma memory as fragmented, disorganized, or feeling like it is happening now; it focuses on emotional reliving and negative appraisals instead. | ec_strategies: The vignette explicitly depicts thought suppression as a maladaptive coping strategy that perpetuates PTSD symptoms by making the memory more intrusive and intertwined with negative appraisals. | ec_triggers: The vignette clearly describes a specific sensory cue (silence) that reliably triggers anxiety and a sense of threat linked to the trauma."
2026-05-14T22:00:12.558097,deepseek-chat,V083,311,gpt-4o-mini,full,1,3,2,1,2,3,2,1,1,1,1,1,1,1,1,0,1,1,"clarity: The vignette is hard to follow due to excessive repetition of the same concept in similar wording, which obstructs understanding. | relevance: The vignette provides rich, specific clinical details that illustrate how this particular person's PTSD operates in daily life, making it highly relevant to clinical practice. | importance: The vignette teaches generic PTSD knowledge (avoidance, hypervigilance, re-experiencing) but lacks specific clinical nuance or insight that would significantly enhance a trainee's understanding of PTSD. | g1_grounded: The vignette relies on generic, non-specific language that could describe any PTSD patient, lacking the concrete, individualized detail required for a score of 2 or 3. | g2_narrative: The vignette shows a clear but repetitive link between trauma, belief, and behavior, lacking the full, nuanced through-line of a score of 3. | g3_explicit: PTSD features such as hypervigilance, re-experiencing, avoidance, and negative alterations in cognition are named and shown in specific, vivid actions throughout the vignette. | g4_relevant: The vignette is mostly focused on PTSD symptoms and maintaining cycles, but the excessive repetition of the makeup detail without clear clinical relevance constitutes minor distracting content. | dsm_a: The vignette clearly and explicitly describes a traumatic event (torture) that satisfies DSM-5 Criterion A. | dsm_b: The vignette explicitly depicts intrusion symptoms such as intense distress triggered by reminders of the trauma. | dsm_c: The vignette contains multiple explicit examples of avoidance of both internal (thoughts/feelings) and external (places, situations, clothing) trauma reminders, meeting DSM-5 Criterion C. | dsm_d: The vignette clearly and explicitly includes persistent negative beliefs about oneself, meeting Criterion D. | dsm_e: The vignette explicitly describes hypervigilance and exaggerated startle, meeting DSM-5 Criterion E for hyperarousal/reactivity. | dsm_g: The vignette clearly demonstrates clinically significant functional impairment through avoidance of social outings and restriction of daily activities due to trauma-related anxiety. | ec_threat: The vignette explicitly conveys that Nia experiences the trauma-related threat as currently present and ongoing, not just a memory of past danger. | ec_appraisals: The vignette contains explicit negative appraisals of the trauma's consequences, such as feeling permanently damaged and incapable. | ec_memory: The vignette does not explicitly show the trauma memory as fragmented, disorganized, or experienced as happening in the present moment. | ec_strategies: The vignette clearly demonstrates a maladaptive coping strategy (makeup as armor) that perpetuates PTSD symptoms by strengthening memories and distress. | ec_triggers: The vignette clearly identifies specific internal and external cues (e.g., footsteps, oppressive heat, certain names, scents) that reliably trigger trauma memory and distress."
2026-05-14T22:00:13.105035,deepseek-chat,V099,384,deepseek-chat,zero_shot,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,0,1,"clarity: The vignette uses specific, concrete language to describe Elena's thoughts, feelings, and behaviors, making her experience exceptionally clear and easy to follow. | relevance: Richly relevant to PTSD practice, with specific, individualized details that demonstrate how the trauma affects her behavior, relationships, and daily functioning in a clinically recognizable way. | importance: This vignette provides high educational value by illustrating how PTSD symptoms specifically disrupt a deeply held religious identity and practice, offering a nuanced clinical insight beyond generic symptom lists. | g1_grounded: The vignette is written from inside Elena's specific experience, with precise sensory and emotional details that make the trauma and its aftermath feel unique and clinically realistic. | g2_narrative: The vignette shows a clear connection between trauma and some behaviors (avoiding the church, checking locks), but the internal logic linking trauma to specific beliefs about shame and visibility is incomplete. | g3_explicit: PTSD details are named and shown in action, not merely implied. | g4_relevant: Every detail in the vignette serves the clinical picture of PTSD, with no distracting or irrelevant information. | dsm_a: The vignette clearly describes a directly experienced traumatic event involving sexual violence. | dsm_b: The vignette explicitly describes flashbacks and intrusive images related to the trauma, meeting Criterion B. | dsm_c: The vignette contains explicit, unambiguous examples of avoidance of both external reminders (the street) and internal reminders (perfume scent) related to the trauma. | dsm_d: The vignette clearly and explicitly depicts shame, a negative alteration in cognition or mood under Criterion D. | dsm_e: The vignette explicitly includes hypervigilance, sleep disturbance, and exaggerated startle, all of which are DSM-5 Criterion E symptoms. | dsm_g: The vignette clearly and explicitly demonstrates clinically significant distress and functional impairment across multiple domains. | ec_threat: The vignette clearly demonstrates a sense of current threat, as Elena feels the attack is still happening now. | ec_appraisals: The vignette explicitly shows negative appraisals through Elena's fear that her shame is visible and her belief that she is permanently changed ('I don't know how to be me anymore'). | ec_memory: The vignette clearly depicts the trauma memory as feeling ongoing and present, not as a coherent past narrative. | ec_strategies: The vignette describes avoidance and safety behaviours but does not explicitly show them backfiring or perpetuating PTSD symptoms. | ec_triggers: The vignette includes a clear, specific internal/external cue (perfume scent) that triggers trauma-related distress."
2026-05-14T22:00:13.417823,deepseek-chat,V089,403,qwen3.6-35b,zero_shot,3,3,3,3,3,3,2,1,1,1,1,1,1,1,0,1,0,0,"clarity: The vignette uses vivid, specific sensory and behavioral details that make the character's experience immediately clear and concrete. | relevance: The vignette is richly relevant to PTSD practice, with specific, clinically meaningful details that illustrate how this individual's trauma history shapes her daily life and symptoms. | importance: This vignette provides high educational value by illustrating the paradox of a patient who is highly functional yet deeply symptomatic, and the clinical nuance of how trauma manifests in daily rituals, avoidance patterns, and the meaning of assessment scores. | g1_grounded: The vignette is written from inside this person's specific experience, with precise details about her job, her rituals, and the particular reasons she avoids certain situations. | g2_narrative: The vignette traces a coherent internal logic from the specific trauma to the specific beliefs, behaviors, and coping strategies, making the personal narrative fully understandable. | g3_explicit: PTSD details are named and shown in action, not merely implied. | g4_relevant: The vignette is mostly focused on PTSD-relevant details but includes a few sentences about her mother and everyday topics that are not tied to symptoms or maintaining cycles. | dsm_a: The vignette explicitly describes a directly experienced traumatic event involving serious injury and threat of death during a military convoy attack. | dsm_b: The vignette explicitly depicts nightmares and intense distress at trauma reminders, meeting DSM-5 Criterion B. | dsm_c: The vignette includes explicit, specific examples of avoidance of trauma-related external reminders (grocery stores, crowds). | dsm_d: The vignette explicitly includes persistent negative beliefs and emotional numbing, meeting Criterion D. | dsm_e: The vignette clearly and explicitly depicts hyperarousal symptoms including sleep disturbance and hypervigilance. | dsm_g: The vignette clearly describes both distress (PCL-5 score of 80) and functional impairment (avoidance behaviors, disrupted daily life). | ec_threat: The vignette clearly demonstrates a sense of current threat through the character's ongoing belief that the ground is shaking, indicating the trauma feels present and ongoing. | ec_appraisals: The vignette lacks explicit negative appraisals of the trauma or its aftermath, such as blaming herself or believing she is permanently damaged. | ec_memory: The trauma memory is presented as fragmented sensory fragments that feel present rather than past. | ec_strategies: The vignette describes coping behaviors but does not explicitly show them backfiring or perpetuating PTSD symptoms. | ec_triggers: The vignette describes avoidance of crowds but does not explicitly show that this cue triggers re-experiencing of the trauma."
2026-05-14T22:00:15.045557,deepseek-chat,V103,142,gpt-5.4-mini,full,3,3,3,3,3,3,3,1,0,1,1,1,1,1,0,0,1,1,"clarity: The vignette uses concrete, specific actions and internal experiences to depict PTSD symptoms, making it exceptionally clear and free from ambiguity. | relevance: The vignette provides rich, specific details about how Daniel's PTSD manifests in his daily routines and relationships, making it highly relevant to clinical practice. | importance: This vignette provides high educational value by illustrating a nuanced clinical presentation of PTSD where the patient avoids not only external threats but also internal positive emotions, offering a specific learning point about the complexity of trauma-related avoidance. | g1_grounded: The vignette is written from inside Daniel's specific experience, with precise situations and internal paradoxes that ground it in realistic clinical detail. | g2_narrative: The vignette traces a full, coherent line from trauma to specific beliefs about safety and vigilance, to specific behaviors (exit scanning, avoiding exercise, suppressing positive emotions), to the coping mechanism of maintaining constant alertness, making the internal logic fully visible. | g3_explicit: PTSD details like hypervigilance, avoidance, and emotional numbing are named and shown in specific, vivid actions throughout the vignette. | g4_relevant: Every detail in the vignette directly serves the clinical picture of PTSD, with no distracting or irrelevant content. | dsm_a: The vignette explicitly describes a traumatic event involving direct exposure to threat of serious harm during a war zone deployment. | dsm_b: The vignette does not clearly or explicitly describe any DSM-5 Criterion B intrusion symptoms such as flashbacks, nightmares, or intense distress at trauma reminders. | dsm_c: The vignette explicitly describes avoidance of both internal emotional experiences and external situations that serve as trauma reminders. | dsm_d: The vignette explicitly depicts persistent avoidance of positive emotions and emotional numbing, meeting Criterion D. | dsm_e: The vignette explicitly depicts hypervigilance (scanning exits, constant alertness) as a key feature of the character's post-trauma experience. | dsm_g: The vignette explicitly describes both distress (exhaustion) and functional impairment (withdrawal from family, avoidance of exercise, work-life disruption) meeting Criterion G. | ec_threat: The vignette explicitly portrays a persistent sense that the trauma is still happening or that danger is currently present, not just a memory of past events. | ec_appraisals: The vignette describes hypervigilance and fear of losing control but lacks explicit catastrophic or overly negative interpretations of the trauma or its aftermath. | ec_memory: The vignette does not explicitly show a fragmented, disorganised trauma memory that feels present rather than past. | ec_strategies: The vignette explicitly depicts avoidance and emotional suppression as coping strategies that perpetuate PTSD symptoms by shrinking the individual's world and maintaining hypervigilance. | ec_triggers: The vignette clearly identifies specific internal and external cues that reliably trigger trauma-related distress and hypervigilance."
2026-05-14T22:00:17.291716,deepseek-chat,V097,122,deepseek-reasoner,full,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is exceptionally clear, using specific, concrete details to describe the character, trauma, symptoms, and their interconnections without ambiguity. | relevance: Richly relevant — a clinician would recognize this as a realistic case with specific, interconnected PTSD mechanisms that feel authentic to clinical practice. | importance: The vignette provides high educational value by illustrating specific, interconnected PTSD mechanisms (e.g., negative appraisals, magical thinking, fawn response, cyclical maintenance) that deepen clinical understanding beyond generic symptom lists. | g1_grounded: The vignette is written from inside the person's specific experience, with precise sensory details and a particular reason for seeking help. | g2_narrative: The vignette provides a fully traceable internal logic from trauma to specific beliefs to specific behaviors to maintaining cycles, meeting the highest standard for personal narrative. | g3_explicit: PTSD details are named and shown in action, including re-experiencing, negative appraisals, hypervigilance, avoidance, and fawn response, all clearly linked to the traumatic event. | g4_relevant: The vignette contains distracting, irrelevant details (occupation and gender identity) that do not connect to the PTSD presentation. | dsm_a: The vignette clearly and explicitly describes a directly experienced traumatic event (mugging with threat of harm) that meets DSM-5 Criterion A. | dsm_b: The vignette explicitly describes multiple intrusion symptoms, including flashbacks and intense distress triggered by reminders of the trauma. | dsm_c: The vignette explicitly describes avoidance of trauma-related external reminders (the alley, leaving work before dark, and close proximity to strangers). | dsm_d: The vignette clearly and explicitly includes persistent negative beliefs about oneself, meeting DSM-5 Criterion D. | dsm_e: The vignette explicitly and repeatedly describes hypervigilance and exaggerated startle, meeting DSM-5 Criterion E for hyperarousal/reactivity. | dsm_g: The vignette clearly describes clinically significant distress and functional impairment, culminating in seeking professional help. | ec_threat: The vignette explicitly conveys that the person experiences a persistent, present-oriented sense of threat, believing danger could happen at any moment. | ec_appraisals: The vignette clearly depicts negative appraisals of permanent damage and loss of self, meeting the criterion. | ec_memory: The vignette clearly portrays the trauma memory as fragmented, triggered by sensory cues, and experienced as if happening in the present, meeting the criterion for nature of trauma memory. | ec_strategies: The vignette clearly demonstrates maladaptive coping strategies (avoidance, magical thinking, fawn response) that maintain or worsen PTSD symptoms. | ec_triggers: The vignette clearly describes specific internal and external cues that reliably activate trauma memory and distress."
