timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,representativeness,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,dsm_valid,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-11T22:18:14.300454,claude-opus-4-7,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is a richly written, clinically grounded portrayal of PTSD following a medical trauma involving a loved one. It convincingly captures all DSM-5 criteria (trauma exposure, intrusions including affect-without-memory, avoidance, negative cognitions including injustice/self-blame, hyperarousal/hypervigilance, and functional impairment) as well as all Ehlers & Clark cognitive model elements (current threat, negative appraisals, fragmented/disorganized memory, maladaptive strategies like thought suppression and reassurance-seeking, and clear triggers like needles and blood). The narrative form, cultural framing, and the precipitating event prompting therapy entry all enhance realism without becoming a checklist."
2026-05-11T22:18:22.268376,claude-opus-4-7,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is a richly detailed, narratively compelling portrayal of combat-related PTSD that covers all DSM-5 criteria (traumatic exposure, intrusions, avoidance, negative cognitions/numbing, hyperarousal, and functional impairment) and all Ehlers & Clark cognitive model components (sense of current threat, negative appraisals/self-blame, fragmented sensory memory, maladaptive avoidance/safety behaviors, and specific triggers). It reads as a coherent personal narrative rather than a checklist and integrates cultural context thoughtfully. Minor weakness: it is quite long, but every detail remains clinically relevant."
2026-05-11T22:18:30.234235,claude-opus-4-7,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is a richly detailed, clinically grounded vignette that integrates all DSM-5 PTSD criteria with Ehlers & Clark's cognitive model components in a coherent personal narrative. Particular strengths include the depiction of sensory-driven re-experiencing (smell of rust/wet concrete), idiosyncratic triggers (diminutive name, humid weather, physical proximity), negative appraisals about self and body, and the maintenance role of avoidance and distraction. The narrative voice is culturally specific and avoids feeling like a checklist while still making each clinical feature identifiable."
2026-05-11T22:18:38.861384,claude-opus-4-7,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"A richly drawn, well-written vignette that integrates all DSM-5 PTSD criteria and Ehlers-Clark cognitive model elements (sense of current threat during ""glitches,"" negative appraisals about world safety and self, sensory-driven intrusive memories, avoidance/safety behaviors, clear triggers). The narrative voice is vivid and clinically plausible, capturing the controlled, detached presentation common in long-standing PTSD with occupational functioning preserved. Minor note: Criterion A exposure is somewhat indirect (witnessing aftermath rather than direct threat), though it still qualifies given exposure to aversive details of casualties."
2026-05-11T22:18:47.473635,claude-opus-4-7,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"A richly drawn, clinically credible vignette of PTSD in a first responder, with strong illustration of Ehlers-Clark mechanisms — particularly how safety behaviors and hypervigilance maintain a sense of current threat. The narrative integrates DSM-5 criteria (trauma exposure, intrusion via bodily/sensory cues, avoidance, emotional numbing/pushing away positive affect, hyperarousal, functional impairment) without reading as a checklist. Intrusion symptoms (nightmares, flashbacks) are slightly less explicit than other criteria, but the ""living behind glass"" detachment, trigger-driven threat reactions, and the precipitating nephew incident are vivid and convincing."
2026-05-11T22:18:55.843628,claude-opus-4-7,V006,112,qwen2.5-32b,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette presents a comprehensive and clinically grounded PTSD case following a hurricane, with all DSM-5 criteria clearly represented and Ehlers-Clark cognitive features (sensory triggers, fragmented/surreal memory, negative appraisals about trust, avoidance strategies) well-articulated. It reads as a coherent personal narrative with rich detail about sensory triggers (neck pain, metallic taste, nausea) and functional impairment. Minor weakness: the ""South Eastern Asian"" descriptor is somewhat awkward and the closing therapeutic hope section feels slightly formulaic."
2026-05-11T22:19:03.745366,claude-opus-4-7,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,0,1,1,1,1,0,1,1,0,1,1,"A well-written, narratively rich vignette that vividly portrays hypervigilance, avoidance, and a pervasive sense of current threat following a war-zone deployment, with clear functional impairment and impact on relationships. It strongly captures Ehlers-Clark elements (current threat, negative appraisals about safety, avoidance of arousal-related sensations and positive emotions) but notably lacks explicit intrusion symptoms (Criterion B)—no flashbacks, nightmares, or intrusive memories are described, which is a meaningful gap for a full PTSD presentation."
2026-05-11T22:19:11.566015,claude-opus-4-7,V008,112,gemini-2.5-flash,full,3,3,3,3,2,3,2,1,1,0,1,1,1,0,1,1,1,1,1,"The vignette richly illustrates Ehlers & Clark cognitive model components — somatic triggers, dissociative memory quality, negative appraisals, and sense of current threat — with vivid sensory detail tied to the earthquake trauma. However, it reads somewhat like an annotated symptom map (with bolded constructs) rather than a flowing personal narrative, and Criterion C avoidance is not clearly described. Functional impairment at work and hyperarousal are well-conveyed."
2026-05-11T22:19:19.784506,claude-opus-4-7,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This is a richly written, clinically grounded vignette that comprehensively addresses all DSM-5 PTSD criteria and all five Ehlers & Clark cognitive model components. The narrative voice is evocative and avoids checklist phrasing, weaving together fragmented memory, survivor guilt, hypervigilance, avoidance, triggers (perfume, fire alarm), and maladaptive appraisals about self-worth. Functional impairment (divorce, social withdrawal, work errors, declining mentorship) is concretely demonstrated rather than stated abstractly."
2026-05-11T22:19:28.023773,claude-opus-4-7,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is a rich, well-written narrative portrayal of PTSD in an older adult, capturing all DSM-5 criteria (witnessed trauma, intrusive fragments, avoidance behaviors, numbing/emptiness, hypervigilance/startle, functional strain) and all Ehlers-Clark cognitive components (fragmented memory, sense of current threat, negative appraisals about accountability, avoidance/safety behaviors, and clear triggers like slamming doors and crying babies). It reads as personal narrative rather than a checklist while remaining clinically explicit. Minor weakness: sleep disturbance is only briefly hinted at, but otherwise the case is comprehensive and clinically authentic."
